question,answers,correct_answers
"Реалізація імперської стратегії Росії в Першій світовій війні щодо «…злиття землі Ярослава Осмомисла, князів Данила і Романа з Імперією в політичному, соціальному та національному відношеннях…» стала можливою завдяки","[{'marker': 'А', 'text': 'Карпатській операції.'}, {'marker': 'Б', 'text': 'Горліцькому прориву.'}, {'marker': 'В', 'text': 'Брусиловському прориву.'}, {'marker': 'Г', 'text': 'Галицькій битві.'}]",['Г']
Незалежність Української Народної Республіки проголошено,"[{'marker': 'А', 'text': '4 березня 1917 р.'}, {'marker': 'Б', 'text': '7 листопада 1917 р.'}, {'marker': 'В', 'text': '22 січня 1918 р.'}, {'marker': 'Г', 'text': '29 квітня 1918 р.'}]",['В']
"У якому уривку з історичного джерела відображено сутність літературної дискусії, започаткованої М. Хвильовим?","[{'marker': 'А', 'text': '«…необхідно відзначити, що Волинська і Київська губернії беруться як приклади найбільш успішного проведення політики українізації, а Донецька – як найбільш відстала в цьому відношенні губернія…»'}, {'marker': 'Б', 'text': '«…кінець малоросійському епігонству і провінційності, українське мистецтво прилучається до світового, і, в першу чергу, до західноєвропейського; Українське мистецтво … започатковує нове велике культурне коло…»'}, {'marker': 'В', 'text': '«…мені здається, що переклад повісті “Мати” на українську говірку не потрібен. Мене дуже дивує той факт, що люди […] прагнуть зробити говірку мовою, пригноблюють тих великоросів, які є меншиною в області цієї говірки…»'}, {'marker': 'Г', 'text': '«…на Україні […] культура міста є російська, а культура села – українська. Поставити собі завдання активно українізувати партію, це значить стати на точку зору нижчої культури села, порівняно з вищою культурою міста…»'}]",['Б']
"Письменник Генріх Манн занотував у своєму щоденнику: «Один диктатор-зрадник побудував усю свою кар’єру на антибільшовизмі. Раптом він робить поворот, і тут таки інший диктатор-зрадник розкриває йому свої обійми! Вони знайшли одне одного, щоб виступити проти цивілізованого світу. Нарешті вдвох...», – дізнавшись про","[{'marker': 'А', 'text': 'укладення Німеччиною та Японією Антикомінтернівського пакту.'}, {'marker': 'Б', 'text': 'підписання Німеччиною та Радянським Союзом договору про ненапад.'}, {'marker': 'В', 'text': 'підписання Німеччиною та Італією Мюнхенської угоди.'}, {'marker': 'Г', 'text': 'здійснення Німеччиною «аншлюсу» Австрії.'}]",['Б']
Здійснення «операції “Вісла”» та «операції “Захід”» відбулося,"[{'marker': 'А', 'text': '1939 р.'}, {'marker': 'Б', 'text': '1944 р.'}, {'marker': 'В', 'text': '1947 р.'}, {'marker': 'Г', 'text': '1951 р.'}]",['В']
Виникнення в Україні руху «шістдесятників» зумовлено,"[{'marker': 'А', 'text': 'лібералізацією суспільно-політичного та духовного життя.'}, {'marker': 'Б', 'text': 'збільшенням фінансування культури та народної творчості.'}, {'marker': 'В', 'text': 'долученням до європейської та світової культурної спадщини.'}, {'marker': 'Г', 'text': 'поверненням в українську культуру забутих і репресованих імен.'}]",['А']
У якому з уривків надано оцінку політичному курсу «перебудови»?,"[{'marker': 'А', 'text': '«Він, підвищивши рівень життя населення західноєвропейських країн, зміцнив політичну стабільність у регіоні та створив абсолютно нову, небачену досі, атмосферу співробітництва, взаємодопомоги та підтримки у відносинах між Західною Європою і Сполученими Штатами…»'}, {'marker': 'Б', 'text': '«Проголошення цього курсу – важлива віха в історії. Він змінив життя сотень мільйонів громадян Радянського Союзу і країн Східної Європи. Найважливішим його надбанням стало знищення тоталітаризму, який упродовж 74 років сковував радянське суспільство…»'}, {'marker': 'В', 'text': '«Цей курс виявився лише спробою відійти від жорсткої тоталітарної системи з її жахіттями кривавого терору, однак лібералізація та відносна демократизація в жодному разі не зачіпала основ політичного устрою Радянського Союзу та підвалин його суспільного буття…»'}, {'marker': 'Г', 'text': '«Він ствердив виключне право СРСР в умовах, коли виникає загроза справі соціалізму в країнах Східної Європи, загроза безпеці соціалістичної співдружності в цілому, на втручання у внутрішні справи країн, включно з використанням військової сили…»'}]",['Б']
Конституцію України було ухвалено,"[{'marker': 'А', 'text': '16 липня 1990 р.'}, {'marker': 'Б', 'text': '24 серпня 1991 р.'}, {'marker': 'В', 'text': '19 липня 1994 р.'}, {'marker': 'Г', 'text': '28 червня 1996 р.'}]",['Г']
Утворення в роки Першої світової війни легіону Українських січових стрільців засвідчило,"[{'marker': 'А', 'text': 'лояльне ставлення українців Галичини до австро-угорської монархії.'}, {'marker': 'Б', 'text': 'підтримку українцями Галичини вступу у війну Російської імперії.'}, {'marker': 'В', 'text': 'прагнення російської влади виправдати окупацію Східної Галичини.'}, {'marker': 'Г', 'text': 'неспроможність австрійського уряду самостійно провести мобілізацію.'}]",['А']
Якими були передумови гетьманського перевороту 1918 р.?,"[{'marker': 'А', 'text': 'Укладення Центральною Радою союзу з більшовицькою владою Росії, проголошення Радою повної націоналізації земельної власності та промислових підприємств.'}, {'marker': 'Б', 'text': 'Проголошення Західноукраїнської Народної Республіки, початок польсько-української війни та загроза її поширення на територію Наддніпрянської України.'}, {'marker': 'В', 'text': 'Утворення Директорії УНР, спроба встановити в Україні національний варіант радянської влади, поширення серед селянства руйнівних анархістських рухів.'}, {'marker': 'Г', 'text': 'Загострення відносин Центральної Ради з німецьким окупаційним командуванням, розчарування населення в економічній політиці УНР.'}]",['Г']
