area,rot-agree,rot-categorization,rot-moral-foundations,rot-judgment,action,action-moral-judgment,action-legal,label,action_ukr
amitheasshole,4.0,morality-ethics,care-harm,it's not okay.,Abusing children,-2.0,illegal,0,Жорстоке поводження з дітьми
dearabby,4.0,morality-ethics,care-harm|sanctity-degradation,Shouldn't.,Abusing someone pregnant.,-2.0,illegal,0,Насильство над вагітною людиною.
amitheasshole,4.0,morality-ethics|social-norms,care-harm,It's bad,Acting overly aggressive over sports.,-1.0,legal,0,Поводитись надто агресивно через спорт.
rocstories,4.0,morality-ethics|social-norms,care-harm,It's understandable,Admiring someone for their good deeds.,0.0,legal,1,Захоплення кимось за їхні добрі справи.
confessions,4.0,morality-ethics,care-harm|authority-subversion,should not,Adults taking advantage of children.,-1.0,tolerated,0,"Дорослі, які користуються дітьми."
rocstories,4.0,advice,care-harm,You should,Always checking your spam folder for important emails because sometimes your email program puts them in there accidentally.,0.0,legal,1,"Завжди перевіряйте папку зі спамом на наявність важливих листів, оскільки іноді ваша поштова програма випадково розміщує їх туди."
rocstories,4.0,morality-ethics,care-harm,should,An employer  providing training or practice so an employee can learn to be a quicker worker.,1.0,legal,2,"Роботодавець, який надає навчання або практику, щоб працівник міг навчитися працювати швидше."
amitheasshole,4.0,social-norms,care-harm,Its OK,Asking things of your mate that you'd like.,0.0,legal,1,"Просити у свого партнера те, чого б вам хотілося."
confessions,4.0,social-norms,care-harm,It's good,Baking things for yourself and others.,1.0,legal,2,Випікання страв для себе та інших.
confessions,4.0,advice|description,care-harm,It's not okay,Basing your feelings on yourself on internet popularity.,-1.0,legal,0,Базувати свою самооцінку на інтернет-популярності.
dearabby,4.0,morality-ethics,care-harm,It's kind.,Being a volunteer to the sick and dying.,2.0,legal,2,Бути волонтером для хворих і помираючих.
dearabby,4.0,morality-ethics,care-harm|sanctity-degradation,its wrong,Being abusive  to your children,-2.0,illegal,0,Знущання над дітьми
dearabby,4.0,morality-ethics,care-harm,It's bad,Being abusive.,-2.0,illegal,0,Бути жорстоким.
confessions,4.0,advice|description,care-harm,It's good,Being aware of your emotional needs.,1.0,legal,2,Усвідомлення своїх емоційних потреб.
confessions,4.0,morality-ethics,care-harm,Should.,Being careful about driving so not to get in an accident.,2.0,legal,2,"Бути обережним за кермом, щоб не потрапити в аварію."
amitheasshole,4.0,morality-ethics,care-harm,Its good,Being considerate of others.,1.0,legal,2,Бути уважним до інших.
amitheasshole,4.0,morality-ethics|social-norms,care-harm,You should,Being considerate of your neighbors,2.0,legal,2,Бути уважним до своїх сусідів
amitheasshole,4.0,advice,care-harm,Is not good,Being dishonest about wanting to be alone,-1.0,legal,0,Нещирість стосовно свого бажання побути на самоті
amitheasshole,4.0,advice,care-harm,its OK,Being honest when you don't like something.,1.0,legal,2,"Бути чесним, коли тобі щось не подобається."
amitheasshole,4.0,morality-ethics,care-harm|loyalty-betrayal,It's good,Being honest with your friends.,1.0,legal,2,Бути чесним зі своїми друзями.
amitheasshole,4.0,morality-ethics,care-harm,is expected,Being honest with your girlfriend about past hookups and relationships.,0.0,legal,1,Бути чесним зі своєю дівчиною щодо минулих інтимних зв'язків та стосунків.
amitheasshole,4.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,Should.,Being loyal to your friends.,1.0,legal,2,Бути відданим своїм друзям.
amitheasshole,4.0,social-norms,care-harm|loyalty-betrayal,not nice,Being mad at a significant other over small things,-1.0,legal,0,Сердитися на кохану людину через дрібниці
rocstories,4.0,morality-ethics|advice,care-harm,It's good,Being polite.,1.0,legal,2,Бути ввічливим.
amitheasshole,4.0,morality-ethics|social-norms,care-harm,Its wrong,Being rude to a person that is just doing their job.,-1.0,legal,0,"Бути грубим до людини, яка просто виконує свою роботу."
amitheasshole,4.0,social-norms,care-harm|loyalty-betrayal,It's good,Being supportive of your significant other when they are depressed.,2.0,legal,2,"Підтримка свого партнера, коли він у депресії."
dearabby,4.0,morality-ethics,care-harm,Should,Being there for a family member or friend that is terminally ill.,2.0,legal,2,"Бути поруч із членом сім'ї або другом, який невиліковно хворий."
amitheasshole,4.0,morality-ethics,care-harm,You shouldn't,Being too rough with girls.,-1.0,tolerated,0,Бути занадто грубим з дівчатами.
dearabby,4.0,morality-ethics,care-harm|loyalty-betrayal,It's reasonable.,Being upset if partner is not letting other partner have friends.,0.0,legal,1,"Засмучення, якщо партнер не дозволяє іншому партнеру мати друзів."
amitheasshole,4.0,morality-ethics|social-norms,care-harm|authority-subversion,You shouldn't,Bringing out an underage drinker.,-1.0,illegal,0,"Викриття підлітка, який вживає алкоголь."
confessions,4.0,morality-ethics|social-norms,care-harm|fairness-cheating,It's wrong,Bullying someone because they don't share your interests.,-1.0,tolerated,0,"Цькування когось через те, що вони не поділяють твоїх інтересів."
rocstories,4.0,morality-ethics|advice,care-harm,It's kind,Buying things for others.,1.0,legal,2,Купувати речі для інших.
rocstories,4.0,morality-ethics|description,care-harm,It's okay,Buying things that aren't for your kids.,0.0,legal,1,Купувати речі не для своїх дітей.
amitheasshole,4.0,social-norms,care-harm,its okay,Buying yourself flowers.,1.0,legal,2,Купувати собі квіти.
amitheasshole,4.0,morality-ethics,care-harm,is embarrassing,Calling a person out in front of many other people,-1.0,legal,0,Публічно викривати людину перед багатьма іншими людьми
confessions,4.0,morality-ethics,care-harm,It's good,Calling for help right away when someone is threatening their life.,1.0,legal,2,"Негайний виклик допомоги, коли хтось погрожує своєму життю."
rocstories,4.0,advice,care-harm,You should,Calling out someone's name if you need their help,0.0,legal,1,"Назвати когось по імені, якщо вам потрібна їхня допомога"
dearabby,4.0,morality-ethics|description,care-harm|sanctity-degradation,You should,Calling the cops if you discover your partner is into child porn.,0.0,legal,1,"Звернення до поліції, якщо ви виявили, що ваш партнер цікавиться дитячою порнографією."
dearabby,4.0,morality-ethics,care-harm,Its good,Caring about others in life.,1.0,legal,2,Турбуватися про інших у житті.
confessions,4.0,morality-ethics|social-norms,care-harm,It's good.,Caring about things.,0.0,legal,1,Турбуватися про речі.
dearabby,4.0,morality-ethics|advice,care-harm,It's good,Caring for family.,1.0,legal,2,Турбота про сім'ю.
amitheasshole,4.0,description,care-harm,helps save the environment,Carpooling,2.0,legal,2,Спільні поїздки
rocstories,4.0,morality-ethics,care-harm,It's wise.,Cautioning someone in a dangerous situation.,2.0,legal,2,Попередження когось у небезпечній ситуації.
confessions,4.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,It's important.,Checking on friends or family members who aren't doing well.,2.0,legal,2,"Перевіряти стан друзів чи членів родини, яким нездужається."
dearabby,4.0,morality-ethics|social-norms,care-harm|authority-subversion,should,Children being respectful to adults,0.0,legal,1,"Діти, які поважають дорослих"
amitheasshole,4.0,morality-ethics,care-harm,should,Children trying to do things for their parents when they are able.,0.0,legal,1,"Діти намагаються зробити щось для своїх батьків, коли вони можуть."
amitheasshole,4.0,social-norms,care-harm,is important.,Cleanliness,1.0,legal,2,Чистота
rocstories,4.0,social-norms|advice,care-harm,You should,Coming prepared for meetings.,0.0,legal,1,Приходити на зустрічі підготовленими.
amitheasshole,4.0,social-norms,care-harm,Its good,Congratulating others for their accomplishments.,2.0,legal,2,Вітання інших із їхніми досягненнями.
dearabby,4.0,advice,care-harm,expected,Couples talking honestly with each other about their sexual needs.,0.0,legal,1,Пари чесно розмовляють одне з одним про свої сексуальні потреби.
amitheasshole,4.0,social-norms,care-harm|authority-subversion,expected,Coworkers cooperating with one another.,0.0,legal,1,"Колеги, які співпрацюють один з одним."
confessions,4.0,morality-ethics,care-harm|sanctity-degradation,is bad,Destroying someone else's environmen,-1.0,tolerated,0,Знищення чужого середовища
amitheasshole,4.0,morality-ethics,care-harm,Its reasonable,Distancing yourself from someone who you do not share values with.,0.0,legal,1,"Дистанціювання від людини, з якою ви не поділяєте цінностей."
amitheasshole,4.0,morality-ethics,care-harm,shouldn't be prevented,Dogs liking to be close to their owners,-1.0,legal,0,Собаки люблять бути поруч зі своїми господарями
rocstories,4.0,social-norms|advice,care-harm,is thoughtful,Doing something for free for someone else,1.0,legal,2,Робити щось для когось іншого безкоштовно
amitheasshole,4.0,morality-ethics,care-harm,It's not ok,Doing something that could hurt someone or their pets.,-1.0,legal,0,"Робити щось, що може завдати шкоди людині або її домашнім тваринам."
rocstories,4.0,morality-ethics|advice,care-harm,It's good,Doing things for your family.,1.0,legal,2,Робити щось для своєї родини.
rocstories,4.0,advice,care-harm,It's good,Doing things that make you happy.,1.0,legal,2,"Робити те, що приносить тобі щастя."
rocstories,4.0,morality-ethics,care-harm,is selfish.,Driving recklessly and hurting someone else,-2.0,illegal,0,Необережне керування автомобілем і завдання шкоди іншій особі
amitheasshole,4.0,social-norms,care-harm|loyalty-betrayal,It's ok,Ending a friendship if they are taking advantage of you.,0.0,legal,1,"Припинення дружби, якщо вас використовують."
confessions,4.0,morality-ethics|advice,care-harm,It's bad.,Engaging in risky or dangerous behaviors,-1.0,tolerated,0,Участь у ризикованій або небезпечній поведінці
amitheasshole,4.0,morality-ethics,care-harm,is acceptable,Euthanizing sick or old animals,0.0,legal,1,Евтаназія хворих чи старих тварин
rocstories,4.0,description,care-harm,is expected,Exercising improving your health.,0.0,legal,1,Фізичні вправи покращують ваше здоров'я.
amitheasshole,4.0,morality-ethics,care-harm,It's rude,Expecting people to help you if they cannot.,-1.0,legal,0,"Очікувати від людей допомоги, якщо вони не в змозі її надати."
amitheasshole,4.0,social-norms,care-harm,should,Family pitching in to help raise kids.,1.0,legal,2,Коли родина долучається до виховання дітей.
rocstories,4.0,morality-ethics|advice,care-harm,It's okay,Feeling confident when you've been lucky.,0.0,,1,"Відчувати впевненість, коли тобі пощастило."
rocstories,4.0,morality-ethics,care-harm|loyalty-betrayal,It's normal,Feeling grateful towards the people that help you.,0.0,legal,1,"Відчувати вдячність до людей, які тобі допомагають."
amitheasshole,4.0,social-norms,care-harm,ITs okay,Feeling sad when you have to leave your significant other for work.,0.0,legal,1,"Почуватися сумно, коли мусиш покинути свою другу половинку заради роботи."
dearabby,4.0,morality-ethics,care-harm|sanctity-degradation,It's understandable,Finding it difficult to get over losing one's life partner.,0.0,legal,1,Важко оговтатися після втрати супутника життя.
amitheasshole,4.0,advice,care-harm,Its good,Forgiving someone.,2.0,legal,2,Пробачити когось.
amitheasshole,4.0,morality-ethics|social-norms,care-harm,expected,Friends are wanting to go to each other's parties.,0.0,legal,1,Друзі хочуть ходити на вечірки одне одного.
rocstories,4.0,morality-ethics|social-norms,care-harm,Shouldn't.,Getting drunk to get the courage to do something.,-2.0,tolerated,0,"Напитися, щоб набратися сміливості щось зробити."
rocstories,4.0,morality-ethics,care-harm,Should.,Getting help if someone is hurt.,2.0,legal,2,Отримання допомоги у разі травмування когось.
confessions,4.0,morality-ethics|advice,care-harm,You should,Getting help if you have no heart and are selfish.,1.0,legal,2,"Отримання допомоги, якщо у вас немає серця і ви егоїстичні."
confessions,4.0,advice,care-harm,should,Getting help if you're worried about falling into depression,0.0,legal,1,"Отримання допомоги, якщо вас турбує ризик впасти в депресію"
amitheasshole,4.0,advice|description,care-harm,It's perfectly acceptable,Getting out of a relationship you feel is going nowhere.,0.0,legal,1,"Вихід із стосунків, які, як ви відчуваєте, нікуди не ведуть."
confessions,4.0,advice,care-harm,You should,Getting some therapy If all you think about is getting high.,0.0,legal,1,"Звернутися до психотерапевта, якщо всі твої думки лише про кайф."
dearabby,4.0,morality-ethics,care-harm,Should.,Getting tested if you fear having AIDS.,2.0,legal,2,"Проходження тесту, якщо ви боїтеся, що у вас СНІД."
amitheasshole,4.0,social-norms,care-harm,expected,Gifts at wedding getting the couple started with their new life.,1.0,legal,2,Подарунки на весіллі допомагають парі розпочати їхнє нове життя.
rocstories,4.0,advice,care-harm,It's good,Giving yourself a new look.,1.0,legal,2,Надати собі новий вигляд.
rocstories,4.0,description,care-harm,is a good way to rest your body,Going into your bedroom and laying down,1.0,legal,2,Зайти в свою спальню і лягти
dearabby,4.0,social-norms|advice,care-harm,It's ok,Grieving after a loss.,0.0,legal,1,Горювання після втрати.
confessions,4.0,advice|description,care-harm|loyalty-betrayal,Should.,Grieving when your friend dies.,0.0,legal,1,Горювання після смерті друга.
rocstories,4.0,social-norms,care-harm,supposed to,Halloween being fun for children,1.0,legal,2,Хелловін — це веселощі для дітей
confessions,4.0,advice|description,care-harm|loyalty-betrayal,It's good,Having a best friend.,1.0,legal,2,Мати найкращого друга.
amitheasshole,4.0,morality-ethics|social-norms,care-harm,Its OK,Having a life outside of a relationship.,1.0,legal,2,Мати життя поза стосунками.
confessions,4.0,morality-ethics|social-norms,care-harm,Its wrong,Having the intention to not take care of your child.,-2.0,tolerated,0,Маючи намір не піклуватися про свою дитину.
rocstories,4.0,morality-ethics,care-harm|loyalty-betrayal,You should,Helping out your roommate if they are in trouble.,2.0,legal,2,"Допомога твоєму сусіду по кімнаті, якщо він у скрутному становищі."
rocstories,4.0,social-norms,care-harm,Should,Helping your children understand things,0.0,legal,1,Допомагати вашим дітям розуміти речі
confessions,4.0,morality-ethics,care-harm|loyalty-betrayal,You shouldn't,Hurting your friends.,-1.0,tolerated,0,Завдаючи болю друзям.
rocstories,4.0,social-norms|advice,care-harm|loyalty-betrayal,you should,"If your child sees a spider in their room, help them out and get rid of it.",0.0,legal,1,"Якщо ваша дитина побачить павука у своїй кімнаті, допоможіть їй і позбудьтеся його."
amitheasshole,4.0,morality-ethics,care-harm,It's bad,Ignoring someone's medical condition.,-2.0,tolerated,0,Ігнорування чийогось медичного стану.
amitheasshole,4.0,morality-ethics,care-harm,Its rude,Ignoring your partner when they seem sad.,-1.0,legal,0,"Ігнорування партнера, коли той здається сумним."
amitheasshole,4.0,morality-ethics,care-harm,Its bad,Interfering with someone else's source of income.,-1.0,legal,0,Втручання у джерело доходу іншої людини.
amitheasshole,4.0,social-norms,care-harm,It is wrong,Interrupting someone when they are at work.,-1.0,legal,0,Переривання когось під час роботи.
confessions,4.0,morality-ethics,care-harm,It's encouraged,Intervening in situations where someone is in harm's way.,1.0,legal,2,"Втручання у ситуації, коли хтось перебуває в небезпеці."
amitheasshole,4.0,social-norms,care-harm|loyalty-betrayal,It's mean,It is mean to resent your grandmother.,-2.0,legal,0,Це негарно ображатися на свою бабусю.
amitheasshole,4.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,It's understandable,It's understandable to being upset with a family member who is treating you in an unkind manner.,0.0,legal,1,"Цілком зрозуміло, що можна засмутитися через члена родини, який ставиться до вас недоброзичливо."
amitheasshole,4.0,morality-ethics,care-harm,Its hurtful,Keeping secrets from your friends.,-1.0,legal,0,Тримати секрети від своїх друзів.
amitheasshole,4.0,advice,care-harm,Its okay,Keeping your distance.,0.0,legal,1,Тримати дистанцію.
amitheasshole,4.0,morality-ethics,care-harm,shouldn't,Kids running in the street.,-1.0,tolerated,0,Діти бігають на вулиці.
amitheasshole,4.0,morality-ethics,care-harm,It's bad,Killing people.,-2.0,illegal,0,Вбивство людей.
confessions,4.0,morality-ethics,care-harm,Shouldn't.,Killing yourself.,-2.0,legal,0,Вбиваєш себе.
confessions,4.0,description,care-harm,It's good,Learning new things.,1.0,legal,2,Вивчення нових речей.
rocstories,4.0,description,care-harm,Stressful.,Learning you need surgery.,0.0,legal,1,"Дізнаючись, що вам потрібна операція."
amitheasshole,4.0,morality-ethics,care-harm|loyalty-betrayal,is bad,Leaving a partner because they're sick,-1.0,legal,0,Кидати партнера через їхню хворобу
amitheasshole,4.0,morality-ethics,care-harm,Its bad,Leaving your sick baby behind while you go out.,-1.0,legal,0,"Залишаючи свою хвору дитину, коли йдеш кудись."
confessions,4.0,advice,care-harm,You shouldn't,Letting guilt consume your life.,-1.0,legal,0,Дозволяти почуттю провини поглинати ваше життя.
confessions,4.0,morality-ethics|social-norms,care-harm|authority-subversion,You should,Liking your grandchildren.,0.0,legal,1,Любити своїх онуків.
rocstories,4.0,morality-ethics|social-norms,care-harm|sanctity-degradation,It's wrong,Littering,-1.0,illegal,0,Засмічення
amitheasshole,4.0,morality-ethics,care-harm,It's bad,Losing your composure when you should be trying to help someone.,-1.0,legal,0,"Втрачати самовладання, коли ти повинен допомагати комусь."
confessions,4.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,It's good.,Loving others.,2.0,legal,2,Любити інших.
amitheasshole,4.0,morality-ethics,care-harm,wrong,Lying,-1.0,legal,0,Брехня
amitheasshole,4.0,morality-ethics,care-harm|fairness-cheating,It's wrong,Making assumptions about how to interact with people based on their skin color,-1.0,legal,0,"Робити припущення про те, як взаємодіяти з людьми, на основі кольору їхньої шкіри"
amitheasshole,4.0,morality-ethics,care-harm,it's heartless,Making fun of someone with a disability,-2.0,legal,0,Знущання над людиною з інвалідністю
amitheasshole,4.0,morality-ethics|description,care-harm,can make people dislike you.,Making insulting jokes,-2.0,legal,0,Робити образливі жарти
amitheasshole,4.0,morality-ethics|social-norms,care-harm|authority-subversion,can be viewed as controlling.,Making someone do something in a relationship.,-1.0,legal,0,Змушування когось щось робити у стосунках.
amitheasshole,4.0,morality-ethics,care-harm,is wrong,Manipulating people.,-2.0,legal,0,Маніпулювання людьми.
rocstories,4.0,social-norms|description,care-harm,enjoy,Many people going to the coast for vacation.,1.0,legal,2,Багато людей їдуть на узбережжя у відпустку.
confessions,4.0,morality-ethics,care-harm|sanctity-degradation,Shouldn't.,Masturbating in front of your siblings.,-2.0,tolerated,0,Мастурбація у присутності ваших братів і сестер.
amitheasshole,4.0,morality-ethics|social-norms,care-harm,It's ok,Moving back home in order to escape a bad living situation.,0.0,legal,1,"Повертаюсь додому, щоб втекти від поганих житлових умов."
rocstories,4.0,advice,care-harm,Plants may die.,Neglecting  your vegetable garden.,-1.0,legal,0,Занедбання вашого овочевого городу.
rocstories,4.0,social-norms|advice,care-harm,It's bad.,Neglecting your vehicle's maintenance.,-1.0,tolerated,0,Нехтування обслуговуванням вашого автомобіля.
amitheasshole,4.0,social-norms,care-harm,You don't have to,Not telling anyone about your past if you don't want to do so.,0.0,legal,1,"Не розповідати нікому про своє минуле, якщо ви цього не хочете."
amitheasshole,4.0,morality-ethics|description,care-harm|fairness-cheating,can hurt them financially.,Not tipping someone in an often-tipped profession,-1.0,legal,0,"Не давати чайові людині, яка працює у професії, де чайові є звичними"
amitheasshole,4.0,description,care-harm,it's reasonable,Not wanting to take your car out during dangerous weather.,0.0,legal,1,Небажання виїжджати на своєму автомобілі під час небезпечної погоди.
rocstories,4.0,advice,care-harm,assures that you don't go hungry.,Packing food to take with you places,0.0,legal,1,Пакування їжі для подорожей
amitheasshole,4.0,social-norms,care-harm|authority-subversion,expected,Parents and children discussing their issues with each other.,0.0,legal,1,Батьки і діти обговорюють свої проблеми один з одним.
rocstories,4.0,morality-ethics,care-harm,expected,Parents doing their best to facilitate their child's education.,0.0,legal,1,"Батьки докладають усіх зусиль, щоб сприяти освіті своєї дитини."
rocstories,4.0,social-norms,care-harm|loyalty-betrayal,expected,Parents helping their children get their licenses.,0.0,legal,1,Батьки допомагають своїм дітям отримати водійські права.
rocstories,4.0,morality-ethics,care-harm,should,Parents looking out for the safety of their children.,0.0,legal,1,"Батьки, які піклуються про безпеку своїх дітей."
amitheasshole,4.0,description,care-harm|authority-subversion,It's expected,Parents taking care of their children.,0.0,legal,1,Батьки піклуються про своїх дітей.
dearabby,4.0,social-norms,care-harm|authority-subversion,expected,People  taking care of their children.,0.0,legal,1,"Люди, які піклуються про своїх дітей."
confessions,4.0,social-norms,care-harm,They are expected to,People being careful when they driving so they don't harm others on the roads.,2.0,legal,2,"Люди обережні, коли вони керують автомобілем, щоб не завдати шкоди іншим на дорогах."
amitheasshole,4.0,social-norms,care-harm,should,People being civil to each other.,0.0,legal,1,"Люди, які ввічливо ставляться одне до одного."
amitheasshole,4.0,morality-ethics,care-harm,expected,People being kind to their friends.,0.0,legal,1,"Люди, які по-доброму ставляться до своїх друзів."
amitheasshole,4.0,morality-ethics|social-norms,care-harm,are expected to,People being responsible for their children.,0.0,legal,1,"Люди, відповідальні за своїх дітей."
amitheasshole,4.0,morality-ethics|description,care-harm|loyalty-betrayal,expected,People caring about the well-being of their loved ones.,0.0,legal,1,"Люди, які дбають про добробут своїх близьких."
confessions,4.0,social-norms,care-harm,It's expected,People controlling their pets.,0.0,legal,1,"Люди, які контролюють своїх домашніх тварин."
amitheasshole,4.0,social-norms,care-harm,it's expected,People in a relationship working on their issues.,0.0,legal,1,"Люди у стосунках, які працюють над своїми проблемами."
amitheasshole,4.0,advice,care-harm,should,People leaving the past in the past.,1.0,legal,2,"Люди, які залишають минуле в минулому."
dearabby,4.0,description,care-harm,shouldn't,People letting their jobs consume them until they're an empty husk of a person,-1.0,,0,"Люди, які дозволяють роботі поглинати їх, доки не перетворюються на порожню оболонку людини"
confessions,4.0,morality-ethics|description,care-harm,It is expected,People protecting their children.,0.0,legal,1,"Люди, які захищають своїх дітей."
amitheasshole,4.0,social-norms,care-harm,expected,People spending time with their loved ones.,0.0,legal,1,"Люди, що проводять час зі своїми близькими."
confessions,4.0,morality-ethics,care-harm,expected,People taking care of their children.,1.0,legal,2,"Люди, які доглядають за своїми дітьми."
rocstories,4.0,social-norms,care-harm|fairness-cheating|authority-subversion,should,"People thinking about what they want to order before they get to the counter, so they don't hold up everyone else.",1.0,legal,2,"Люди, які вирішують, що вони хочуть замовити, ще до того, як підійдуть до каси, щоб не затримувати всіх інших."
rocstories,4.0,social-norms,care-harm|sanctity-degradation,should,People who discover they have an STD warning their partners they need to get checked.,2.0,legal,2,"Люди, які дізнаються, що у них виявлено захворювання, що передається статевим шляхом, попереджають своїх партнерів про необхідність пройти обстеження."
