label,action,dragoman,deepl,claude_3.7
2,intervening right away when you see someone trying to suffocate someone.,"негайно втручаючись, коли ви бачите, як хтось намагається задушити когось.","негайно втручатися, коли бачиш, що хтось намагається когось задушити.","негайне втручання, коли ти бачиш, що хтось намагається задушити іншу людину."
0,people yelling insulting words at strangers.,люди кричать образливі слова на незнайомців.,люди вигукують образливі слова на адресу незнайомців.,"люди, які кричать образливі слова незнайомцям."
2,setting boundaries.,встановлення меж.,встановлюючи межі.,встановлення меж
0,driving when you've been drinking.,"водіння, автомобіль, коли ви п'єте.","за кермо, коли ти п'яний.",керування транспортним засобом у стані алкогольного сп'яніння.
1,being tolerant of other people's ideals.,бути толерантним до ідеалів інших людей.,бути толерантним до чужих ідеалів.,бути толерантним до ідеалів інших людей.
0,making another persons home dirty.,забруднення будинку іншої людини.,бруднити чужі домівки.,забруднення чужого помешкання.
0,continuing to do something that bothers your roommate.,"продовжувати робити те, що турбує вашого сусіда по кімнаті.","продовжувати робити те, що турбує твого сусіда по кімнаті.","продовжувати робити щось, що дратує твого сусіда по кімнаті."
1,setting rules with your kids.,встановлення правил зі своїми дітьми.,встановлювати правила разом з дітьми.,встановлення правил для ваших дітей.
1,being careful with other people's things,бути обережним з чужими речами.,дбайливого ставлення до чужих речей,бути обережним із чужими речами
2,helping out your kids when they are depressed.,"допомагає вашим дітям, коли вони депресивні.","допомагати своїм дітям, коли вони в депресії.","допомога вашим дітям, коли вони в депресії."
0,stealing things that aren't yours.,"крадіжка речей, які не належать вам.","красти те, що тобі не належить.","красти речі, які тобі не належать."
1,being upset after being scolded.,"бути засмученим після того, як його лають.","засмучуватися після того, як тебе посварили.","засмучений після того, як його насварили."
0,gaslighting people,введення в оману людей.,обдурювання людей газом,газлайтинг людей
0,spending money that isn't yours.,"витрачати гроші, які не належать вам.","витрачаючи гроші, які тобі не належать.",витрачати не свої гроші.
1,calling-in if you're ill.,"зателефонуйте, якщо ви хворі.","дзвонити, якщо захворієш.","телефонування на роботу, якщо ви захворіли."
0,being mean.,бути середнім.,бути злим.,бути злим.
0,abusing animals.,знущання над тваринами.,знущання над тваринами.,знущання над тваринами.
0,destroying your relationships because of drugs,руйнують ваші стосунки через наркотики.,руйнує ваші стосунки через наркотики,руйнування стосунків через наркотики
2,doing something nice for someone you care about.,"робити щось приємне для когось, хто вам небайдужий.","зробити щось приємне для когось, хто вам не байдужий.","робити щось приємне для людини, яка тобі небайдужа."
1,Buying things that aren't for your kids.,"Купуйте речі, які не призначені для ваших дітей.","Купувати речі, які не призначені для ваших дітей.",Купівля речей не для твоїх дітей.
1,getting upset with someone who takes inappropriate pictures.,"засмучуватися з людиною, яка робить невідповідні фотографії.","засмучуватися через те, що хтось робить неприйнятні фотографії.","засмучуватися через когось, хто робить непристойні фотографії."
1,keeping track of your belongings.,Слідкуйте за своїми речами.,стежити за своїми речами.,відстеження своїх речей.
0,hurting your friend's feelings,травмує почуття вашого друга.,ображати почуття свого друга,образити почуття свого друга
2,supporting your friends.,підтримуючи своїх друзів.,підтримувати своїх друзів.,підтримувати своїх друзів.
0,criticizing the way someone talks.,"критика того, як хтось розмовляє.","критикуючи те, як хтось говорить.","критика того, як хтось говорить."
2,preventing cancer.,запобігання раку.,запобігання раку.,запобігання раку.
0,hurting people.,постраждалих людей.,завдаючи шкоди людям.,завдавання болю людям.
0,trying to separate someone from those they love.,"намагаючись відокремити когось від тих, кого вони люблять.","намагання розлучити когось з тими, кого він любить.","намагаючись розлучити когось із тими, кого вони люблять."
0,ignoring your partner's texts.,ігнорування текстів вашого партнера.,ігнорування повідомлень партнера.,ігнорування повідомлень від партнера.
