id,dataset_item_id,trace_id,created_at,updated_at,query,expected_output,prediction
cm7xsntrr003cad07co7kmxdi,32d0b586-05ad-4481-a39f-9bbbe68042a5,c1ae3cfb-8556-4ed5-866a-c43b74d197ae,2025-03-06 20:23:31.191000+00:00,2025-03-06 20:23:31.191000+00:00,ваша друга половинка ставиться до вас з повагою.,1,2
cm7xsnupq003gad07d395uvgt,04e8af2a-4365-4006-afd2-13ceeb9981a9,8ca7666c-9111-4e5d-b8d1-0a2d2bd7e919,2025-03-06 20:23:32.415000+00:00,2025-03-06 20:23:32.415000+00:00,"Ви ретельно обираєте своїх домашніх тварин, щоб отримати потрібного.",1,1
cm7xsnwwq003kad07be7dio1k,192a3cd3-208b-4864-ba4e-70fcf9687fa5,da6b5e90-51a2-419b-a58f-b36be051c361,2025-03-06 20:23:35.258000+00:00,2025-03-06 20:23:35.258000+00:00,"турбується про когось, хто відчуває себе закатованим часом.",1,2
cm7xsnx87003oad079dam6368,0323721c-19a8-4348-8b6b-a5e8f4c08ad6,473b4362-2334-419e-bde9-3fc8c3602513,2025-03-06 20:23:35.672000+00:00,2025-03-06 20:23:35.672000+00:00,"турбуючись про речі, які можуть статися, а можуть і не статися.",0,1
cm7xsnyg1003sad07tfowjzqb,469171a5-1a07-42eb-a92d-a7bb654391d1,caa86b05-0034-4bd8-bf45-151efc69d11b,2025-03-06 20:23:37.249000+00:00,2025-03-06 20:23:37.249000+00:00,"працює, щоб пройти повз нього, коли помирає один із подружжя.",1,0
cm7xsnze1003wad07ya4pemtt,29e2dd17-c127-4efb-ae3b-73cabd7ab4d0,9cfd7e21-89e5-497d-9698-08586ead22ba,2025-03-06 20:23:38.474000+00:00,2025-03-06 20:23:38.474000+00:00,розв'язання ваших проблем у шлюбі.,2,1
cm7xso0m10040ad078808w8t2,355d994e-9bb0-44cf-9b0a-8e546bc6501d,d0904a23-3070-4732-8c35-9ef04f4554bc,2025-03-06 20:23:40.057000+00:00,2025-03-06 20:23:40.057000+00:00,наполегливо працюємо над бажаним результатом.,1,2
cm7xso0x10044ad071x565e0c,3c6d7eb5-c0e6-4864-8bc5-8a9e73db3232,1c3d05cd-8b73-476d-a263-d63fd5c612ab,2025-03-06 20:23:40.453000+00:00,2025-03-06 20:23:40.453000+00:00,"наполегливо працює, щоб отримати потрібну роботу.",1,2
cm7xso1tx0048ad07qn05pmh1,a1838714-fbdf-4dd7-9b24-5d43032a8089,6b6ae6d8-97fb-434a-a2f5-b4db6285091c,2025-03-06 20:23:41.638000+00:00,2025-03-06 20:23:41.638000+00:00,наполегливо працюєте над своїми мріями.,1,2
cm7xso3oi004gad07yx78mmm1,33af0b54-d289-4e9e-a9ed-744892751917,ecc98caa-bd3a-4ded-b659-9ab6b52c2110,2025-03-06 20:23:44.035000+00:00,2025-03-06 20:23:44.035000+00:00,"утримувати ліки від людей, які цього потребують.",0,0
