question,answers,correct_answers
"**Прочитайте текст і виконайте завдання до нього.**


(1) Основний принцип методу «дама з крильцями» – прибирати дім не повністю за один раз, а частково, не більше 15-30 хвилин щодня. (2) Цей ***процес*** має асоціюватися у вас із легкістю та ненав’язливістю: краще щодня потроху, аніж цілий день на порядкування. (3) Поділіть своє помешкання на зони й складіть план прибирання кожної. (4) Якщо сьогодні ви причепурили кухню, не докоряйте собі за невеликий ***безлад*** у ванній: на все свій час! (5) Генеральне прибирання робимо впродовж години раз на тиждень: опорядковуємо все помешкання, але поверхово. (6) Ідеальний ***порядок*** у кожній зоні наводимо за щоденним 15-хвилинним графіком. (7) І ще одне добре правило: за 10-15 хвилин назбирайте в пакет 27 непотрібних речей, які муляють очі й рішуче викиньте цей ***мотлох*** (не перекладайте на інше місце, а винесіть геть)!


У називному відмінку в тексті вжито слово","[{'marker': 'А', 'text': 'процес'}, {'marker': 'Б', 'text': 'безлад'}, {'marker': 'В', 'text': 'порядок'}, {'marker': 'Г', 'text': 'мотлох'}]",['А']
"**Прочитайте текст і виконайте завдання до нього.**


(1) Основний принцип методу «дама з крильцями» – прибирати дім не повністю за один раз, а частково, не більше 15-30 хвилин щодня. (2) Цей ***процес*** має асоціюватися у вас із легкістю та ненав’язливістю: краще щодня потроху, аніж цілий день на порядкування. (3) Поділіть своє помешкання на зони й складіть план прибирання кожної. (4) Якщо сьогодні ви причепурили кухню, не докоряйте собі за невеликий ***безлад*** у ванній: на все свій час! (5) Генеральне прибирання робимо впродовж години раз на тиждень: опорядковуємо все помешкання, але поверхово. (6) Ідеальний ***порядок*** у кожній зоні наводимо за щоденним 15-хвилинним графіком. (7) І ще одне добре правило: за 10-15 хвилин назбирайте в пакет 27 непотрібних речей, які муляють очі й рішуче викиньте цей ***мотлох*** (не перекладайте на інше місце, а винесіть геть)!


Пунктуаційну помилку допущено в реченні","[{'marker': 'А', 'text': 'першому'}, {'marker': 'Б', 'text': 'четвертому'}, {'marker': 'В', 'text': 'п’ятому'}, {'marker': 'Г', 'text': 'сьомому'}]",['Г']
"**Прочитайте текст і виконайте завдання до нього.**


(1) Основний принцип методу «дама з крильцями» – прибирати дім не повністю за один раз, а частково, не більше 15-30 хвилин щодня. (2) Цей ***процес*** має асоціюватися у вас із легкістю та ненав’язливістю: краще щодня потроху, аніж цілий день на порядкування. (3) Поділіть своє помешкання на зони й складіть план прибирання кожної. (4) Якщо сьогодні ви причепурили кухню, не докоряйте собі за невеликий ***безлад*** у ванній: на все свій час! (5) Генеральне прибирання робимо впродовж години раз на тиждень: опорядковуємо все помешкання, але поверхово. (6) Ідеальний ***порядок*** у кожній зоні наводимо за щоденним 15-хвилинним графіком. (7) І ще одне добре правило: за 10-15 хвилин назбирайте в пакет 27 непотрібних речей, які муляють очі й рішуче викиньте цей ***мотлох*** (не перекладайте на інше місце, а винесіть геть)!


Прикладка є в реченні","[{'marker': 'А', 'text': 'першому'}, {'marker': 'Б', 'text': 'другому'}, {'marker': 'В', 'text': 'четвертому'}, {'marker': 'Г', 'text': 'п’ятому'}]",['А']
"**Прочитайте текст і виконайте завдання до нього.**


(1) Основний принцип методу «дама з крильцями» – прибирати дім не повністю за один раз, а частково, не більше 15-30 хвилин щодня. (2) Цей ***процес*** має асоціюватися у вас із легкістю та ненав’язливістю: краще щодня потроху, аніж цілий день на порядкування. (3) Поділіть своє помешкання на зони й складіть план прибирання кожної. (4) Якщо сьогодні ви причепурили кухню, не докоряйте собі за невеликий ***безлад*** у ванній: на все свій час! (5) Генеральне прибирання робимо впродовж години раз на тиждень: опорядковуємо все помешкання, але поверхово. (6) Ідеальний ***порядок*** у кожній зоні наводимо за щоденним 15-хвилинним графіком. (7) І ще одне добре правило: за 10-15 хвилин назбирайте в пакет 27 непотрібних речей, які муляють очі й рішуче викиньте цей ***мотлох*** (не перекладайте на інше місце, а винесіть геть)!


Слово **зони** в третьому реченні можна замінити словом","[{'marker': 'А', 'text': 'відрізки'}, {'marker': 'Б', 'text': 'сфери'}, {'marker': 'В', 'text': 'шматки'}, {'marker': 'Г', 'text': 'частини'}]",['Г']
На другий склад падає наголос у слові,"[{'marker': 'А', 'text': 'начинка'}, {'marker': 'Б', 'text': 'випадок'}, {'marker': 'В', 'text': 'дрова'}, {'marker': 'Г', 'text': 'загадка'}, {'marker': 'Д', 'text': 'русло'}]",['Д']
З подвоєними приголосними треба писати обидва слова з пропусками в рядку,"[{'marker': 'А', 'text': 'під..аний критиці, роз..єднати береги'}, {'marker': 'Б', 'text': 'л..ється водоспадом, побуквен..ий аналіз'}, {'marker': 'В', 'text': 'розріс..я на всі боки, клітин.ий аналіз'}, {'marker': 'Г', 'text': 'неждан..о зустрітися, об..ивати кригу'}, {'marker': 'Д', 'text': 'йти навман..я, поліс..ькі краєвиди'}]",['В']
Окремо з часткою ***не*** треба писати слово в рядку,"[{'marker': 'А', 'text': 'не/дописана картина відомого художника'}, {'marker': 'Б', 'text': 'не/з’ясовані вчасно важливі питання'}, {'marker': 'В', 'text': 'не/прочитаний допис у соцмережі'}, {'marker': 'Г', 'text': 'не/покоїтися через скаргу сусідів'}, {'marker': 'Д', 'text': 'не/дооцінений талант молодого артиста'}]",['Б']
Буквосполучення ***-ств-*** на місці пропуску треба писати в обох словах рядка,"[{'marker': 'А', 'text': 'студент..о, жіно..о'}, {'marker': 'Б', 'text': 'коза..о, товари..о'}, {'marker': 'В', 'text': 'дитин..о, пірат..о'}, {'marker': 'Г', 'text': 'будівни..о, брат..о'}, {'marker': 'Д', 'text': 'люд..о, гайдама..о'}]",['В']
Букву ***й*** треба писати на місці пропуску в усіх словах рядка,"[{'marker': 'А', 'text': 'нью..орківець, гост..овий, лось..он'}, {'marker': 'Б', 'text': 'кань..он, сер..озний, зна..омство'}, {'marker': 'В', 'text': 'буль..он, кра..овий, фе..єрверк'}, {'marker': 'Г', 'text': 'баталь..он, бо..овий, сл..озливий'}, {'marker': 'Д', 'text': 'шампінь..он, сол..овий, сень..ора'}]",['Б']
"Прочитайте уривок тексту.


Орхідеї не люблять прямих сонячних променів, тому їх не ставлять ***(1)будь/куди***. Для них не підходять ***(2)перші/ліпші*** горщики, отже, ***(3)з/поміж*** уподобаних вами вибирайте прозорі. Не крутіть вазони з боку на бік, не поливайте квіти ***(4)на/швидку/руч*** – і вони ***(5)довго/довго*** тішитимуть вас цвітом.


Без дефіса треба писати слово, позначене цифрою","[{'marker': 'А', 'text': '1'}, {'marker': 'Б', 'text': '2'}, {'marker': 'В', 'text': '3'}, {'marker': 'Г', 'text': '4'}, {'marker': 'Д', 'text': '5'}]",['Г']
