id,dataset_item_id,trace_id,created_at,updated_at,query,expected_output,prediction
cm8hkcd7c01lbad07jyuygw89,04e8af2a-4365-4006-afd2-13ceeb9981a9,e4e477c2-dfb9-456f-bde9-21a53a1fff93,2025-03-20 16:26:03.096000+00:00,2025-03-20 16:26:03.096000+00:00,you choosing your pets carefully so you get the right one.,1,2
cm8hkcdqk01lfad07cjcttezb,ad7cc867-89b3-440c-91be-56d8afd8cb35,77f93dce-cee3-4462-b8ad-ff40d4938bc5,2025-03-20 16:26:03.788000+00:00,2025-03-20 16:26:03.788000+00:00,writing your plans down if you are forgetful.,1,2
cm8hkcefj01ljad07u7vpt0q7,d110cbb7-f763-4266-a7a3-cf6ad1aaefde,b1ca318e-3ccb-4cfe-a2b1-1fc921e9afbf,2025-03-20 16:26:04.687000+00:00,2025-03-20 16:26:04.687000+00:00,worrying about something all the time,0,0
cm8hkd7ky01w4ad07l5bgha53,332ff57c-aff3-41ee-b0cc-73c0cb150e60,07f7ecc1-bebe-4ad0-b124-d212393b8340,2025-03-20 16:26:42.467000+00:00,2025-03-20 16:26:42.467000+00:00,understanding the real source of your anger if you're blowing up at people unjustly.,1,2
cm8hkd88101w8ad071ldxwwdp,0d20d921-10b3-40ac-8de3-aa61d1c0e8f4,ef815585-2caa-4618-86fc-9a0b3fc78e94,2025-03-20 16:26:43.298000+00:00,2025-03-20 16:26:43.298000+00:00,turning to friends in a time of need.,1,2
cm8hkd8qr01wcad076iqqa5qo,c494e202-d511-4a6b-84f6-adf23a90168b,2f02385c-e0eb-478f-b162-9688cf251217,2025-03-20 16:26:43.972000+00:00,2025-03-20 16:26:43.972000+00:00,trying to understand other people's feelings.,2,2
cm8hkccpm0083ad07mej42u03,32d0b586-05ad-4481-a39f-9bbbe68042a5,f5b216e4-00e7-4c9d-9d0f-b600535f38b7,2025-03-20 16:26:02.459000+00:00,2025-03-20 16:26:02.459000+00:00,your significant other treating you with respect.,1,2
cm8hkcdbx0087ad07os3la48o,8497d631-d9ed-4395-912e-cd8a733f47c1,7159e8e3-91bc-4200-a245-3deaab40e1f1,2025-03-20 16:26:03.261000+00:00,2025-03-20 16:26:03.261000+00:00,yelling at your grandparents.,0,0
cm8hkcdv8008bad07xaqewcv6,5c7cd242-f723-4036-8662-7f2be5a8be90,dedbddca-f4db-46b7-a948-9586bd8a8d63,2025-03-20 16:26:03.956000+00:00,2025-03-20 16:26:03.956000+00:00,writing out your thoughts.,1,2
cm8hkceaq008fad07rm68qkew,0323721c-19a8-4348-8b6b-a5e8f4c08ad6,35a97032-2054-40b8-ae29-7c29f5377620,2025-03-20 16:26:04.514000+00:00,2025-03-20 16:26:04.514000+00:00,worrying about things that may or may not happen.,0,0
