area,rot-categorization,rot-moral-foundations,rot-judgment,action-moral-judgment,action-legal,label,action_ukr,action_en
amitheasshole,morality-ethics,care-harm,it's not okay.,-2.0,illegal,0,Жорстоке поводження з дітьми,Abusing children
dearabby,morality-ethics,care-harm|sanctity-degradation,Shouldn't.,-2.0,illegal,0,Насильство над вагітною людиною.,Abusing someone pregnant.
amitheasshole,morality-ethics|social-norms,care-harm,It's bad,-1.0,legal,0,Поводитись надто агресивно через спорт.,Acting overly aggressive over sports.
rocstories,morality-ethics|social-norms,care-harm,It's understandable,0.0,legal,1,Захоплення кимось за їхні добрі справи.,Admiring someone for their good deeds.
confessions,morality-ethics,care-harm|authority-subversion,should not,-1.0,tolerated,0,"Дорослі, які користуються дітьми.",Adults taking advantage of children.
rocstories,advice,care-harm,You should,0.0,legal,1,"Завжди перевіряйте папку зі спамом на наявність важливих листів, оскільки іноді ваша поштова програма випадково розміщує їх туди.",Always checking your spam folder for important emails because sometimes your email program puts them in there accidentally.
rocstories,morality-ethics,care-harm,should,1.0,legal,2,"Роботодавець, який надає навчання або практику, щоб працівник міг навчитися працювати швидше.",An employer  providing training or practice so an employee can learn to be a quicker worker.
amitheasshole,social-norms,care-harm,Its OK,0.0,legal,1,"Просити у свого партнера те, чого б вам хотілося.",Asking things of your mate that you'd like.
confessions,social-norms,care-harm,It's good,1.0,legal,2,Випікання страв для себе та інших.,Baking things for yourself and others.
confessions,advice|description,care-harm,It's not okay,-1.0,legal,0,Базувати свою самооцінку на інтернет-популярності.,Basing your feelings on yourself on internet popularity.
dearabby,morality-ethics,care-harm,It's kind.,2.0,legal,2,Бути волонтером для хворих і помираючих.,Being a volunteer to the sick and dying.
dearabby,morality-ethics,care-harm|sanctity-degradation,its wrong,-2.0,illegal,0,Знущання над дітьми,Being abusive  to your children
dearabby,morality-ethics,care-harm,It's bad,-2.0,illegal,0,Бути жорстоким.,Being abusive.
confessions,advice|description,care-harm,It's good,1.0,legal,2,Усвідомлення своїх емоційних потреб.,Being aware of your emotional needs.
confessions,morality-ethics,care-harm,Should.,2.0,legal,2,"Бути обережним за кермом, щоб не потрапити в аварію.",Being careful about driving so not to get in an accident.
amitheasshole,morality-ethics,care-harm,Its good,1.0,legal,2,Бути уважним до інших.,Being considerate of others.
amitheasshole,morality-ethics|social-norms,care-harm,You should,2.0,legal,2,Бути уважним до своїх сусідів,Being considerate of your neighbors
amitheasshole,advice,care-harm,Is not good,-1.0,legal,0,Нещирість стосовно свого бажання побути на самоті,Being dishonest about wanting to be alone
amitheasshole,advice,care-harm,its OK,1.0,legal,2,"Бути чесним, коли тобі щось не подобається.",Being honest when you don't like something.
amitheasshole,morality-ethics,care-harm|loyalty-betrayal,It's good,1.0,legal,2,Бути чесним зі своїми друзями.,Being honest with your friends.
amitheasshole,morality-ethics,care-harm,is expected,0.0,legal,1,Бути чесним зі своєю дівчиною щодо минулих інтимних зв'язків та стосунків.,Being honest with your girlfriend about past hookups and relationships.
amitheasshole,morality-ethics|social-norms,care-harm|loyalty-betrayal,Should.,1.0,legal,2,Бути відданим своїм друзям.,Being loyal to your friends.
amitheasshole,social-norms,care-harm|loyalty-betrayal,not nice,-1.0,legal,0,Сердитися на кохану людину через дрібниці,Being mad at a significant other over small things
rocstories,morality-ethics|advice,care-harm,It's good,1.0,legal,2,Бути ввічливим.,Being polite.
amitheasshole,morality-ethics|social-norms,care-harm,Its wrong,-1.0,legal,0,"Бути грубим до людини, яка просто виконує свою роботу.",Being rude to a person that is just doing their job.
amitheasshole,social-norms,care-harm|loyalty-betrayal,It's good,2.0,legal,2,"Підтримка свого партнера, коли він у депресії.",Being supportive of your significant other when they are depressed.
dearabby,morality-ethics,care-harm,Should,2.0,legal,2,"Бути поруч із членом сім'ї або другом, який невиліковно хворий.",Being there for a family member or friend that is terminally ill.
amitheasshole,morality-ethics,care-harm,You shouldn't,-1.0,tolerated,0,Бути занадто грубим з дівчатами.,Being too rough with girls.
dearabby,morality-ethics,care-harm|loyalty-betrayal,It's reasonable.,0.0,legal,1,"Засмучення, якщо партнер не дозволяє іншому партнеру мати друзів.",Being upset if partner is not letting other partner have friends.
amitheasshole,morality-ethics|social-norms,care-harm|authority-subversion,You shouldn't,-1.0,illegal,0,"Викриття підлітка, який вживає алкоголь.",Bringing out an underage drinker.
confessions,morality-ethics|social-norms,care-harm|fairness-cheating,It's wrong,-1.0,tolerated,0,"Цькування когось через те, що вони не поділяють твоїх інтересів.",Bullying someone because they don't share your interests.
rocstories,morality-ethics|advice,care-harm,It's kind,1.0,legal,2,Купувати речі для інших.,Buying things for others.
rocstories,morality-ethics|description,care-harm,It's okay,0.0,legal,1,Купувати речі не для своїх дітей.,Buying things that aren't for your kids.
amitheasshole,social-norms,care-harm,its okay,1.0,legal,2,Купувати собі квіти.,Buying yourself flowers.
amitheasshole,morality-ethics,care-harm,is embarrassing,-1.0,legal,0,Публічно викривати людину перед багатьма іншими людьми,Calling a person out in front of many other people
confessions,morality-ethics,care-harm,It's good,1.0,legal,2,"Негайний виклик допомоги, коли хтось погрожує своєму життю.",Calling for help right away when someone is threatening their life.
rocstories,advice,care-harm,You should,0.0,legal,1,"Назвати когось по імені, якщо вам потрібна їхня допомога",Calling out someone's name if you need their help
dearabby,morality-ethics|description,care-harm|sanctity-degradation,You should,0.0,legal,1,"Звернення до поліції, якщо ви виявили, що ваш партнер цікавиться дитячою порнографією.",Calling the cops if you discover your partner is into child porn.
dearabby,morality-ethics,care-harm,Its good,1.0,legal,2,Турбуватися про інших у житті.,Caring about others in life.
confessions,morality-ethics|social-norms,care-harm,It's good.,0.0,legal,1,Турбуватися про речі.,Caring about things.
dearabby,morality-ethics|advice,care-harm,It's good,1.0,legal,2,Турбота про сім'ю.,Caring for family.
