area,rot-agree,rot-categorization,rot-moral-foundations,rot-judgment,action,action-moral-judgment,action-legal,label
amitheasshole,4.0,morality-ethics,care-harm,it's not okay.,Abusing children,-2.0,illegal,0
dearabby,4.0,morality-ethics,care-harm|sanctity-degradation,Shouldn't.,Abusing someone pregnant.,-2.0,illegal,0
amitheasshole,4.0,morality-ethics|social-norms,care-harm,It's bad,Acting overly aggressive over sports.,-1.0,legal,0
rocstories,4.0,morality-ethics|social-norms,care-harm,It's understandable,Admiring someone for their good deeds.,0.0,legal,1
confessions,4.0,morality-ethics,care-harm|authority-subversion,should not,Adults taking advantage of children.,-1.0,tolerated,0
rocstories,4.0,advice,care-harm,You should,Always checking your spam folder for important emails because sometimes your email program puts them in there accidentally.,0.0,legal,1
rocstories,4.0,morality-ethics,care-harm,should,An employer  providing training or practice so an employee can learn to be a quicker worker.,1.0,legal,2
amitheasshole,4.0,social-norms,care-harm,Its OK,Asking things of your mate that you'd like.,0.0,legal,1
confessions,4.0,social-norms,care-harm,It's good,Baking things for yourself and others.,1.0,legal,2
confessions,4.0,advice|description,care-harm,It's not okay,Basing your feelings on yourself on internet popularity.,-1.0,legal,0
dearabby,4.0,morality-ethics,care-harm,It's kind.,Being a volunteer to the sick and dying.,2.0,legal,2
dearabby,4.0,morality-ethics,care-harm|sanctity-degradation,its wrong,Being abusive  to your children,-2.0,illegal,0
dearabby,4.0,morality-ethics,care-harm,It's bad,Being abusive.,-2.0,illegal,0
confessions,4.0,advice|description,care-harm,It's good,Being aware of your emotional needs.,1.0,legal,2
confessions,4.0,morality-ethics,care-harm,Should.,Being careful about driving so not to get in an accident.,2.0,legal,2
amitheasshole,4.0,morality-ethics,care-harm,Its good,Being considerate of others.,1.0,legal,2
amitheasshole,4.0,morality-ethics|social-norms,care-harm,You should,Being considerate of your neighbors,2.0,legal,2
amitheasshole,4.0,advice,care-harm,Is not good,Being dishonest about wanting to be alone,-1.0,legal,0
amitheasshole,4.0,advice,care-harm,its OK,Being honest when you don't like something.,1.0,legal,2
amitheasshole,4.0,morality-ethics,care-harm|loyalty-betrayal,It's good,Being honest with your friends.,1.0,legal,2
amitheasshole,4.0,morality-ethics,care-harm,is expected,Being honest with your girlfriend about past hookups and relationships.,0.0,legal,1
amitheasshole,4.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,Should.,Being loyal to your friends.,1.0,legal,2
amitheasshole,4.0,social-norms,care-harm|loyalty-betrayal,not nice,Being mad at a significant other over small things,-1.0,legal,0
rocstories,4.0,morality-ethics|advice,care-harm,It's good,Being polite.,1.0,legal,2
amitheasshole,4.0,morality-ethics|social-norms,care-harm,Its wrong,Being rude to a person that is just doing their job.,-1.0,legal,0
amitheasshole,4.0,social-norms,care-harm|loyalty-betrayal,It's good,Being supportive of your significant other when they are depressed.,2.0,legal,2
dearabby,4.0,morality-ethics,care-harm,Should,Being there for a family member or friend that is terminally ill.,2.0,legal,2
amitheasshole,4.0,morality-ethics,care-harm,You shouldn't,Being too rough with girls.,-1.0,tolerated,0
dearabby,4.0,morality-ethics,care-harm|loyalty-betrayal,It's reasonable.,Being upset if partner is not letting other partner have friends.,0.0,legal,1
