id,dataset_item_id,trace_id,created_at,updated_at,query,expected_output,prediction
cm7xtwf3u06hpad07nsvm33w0,fdf6b252-6885-4991-bb7b-9b60c70bae37,79815e8b-8ad0-4506-8b4f-692e98850a17,2025-03-06 20:58:11.706000+00:00,2025-03-06 20:58:11.706000+00:00,"Їжте їжу, коли ви голодні.",1,2<|END_OF_TURN_TOKEN|>
cm7xtwf8o06glad07uxsu56ro,fbc9c441-7bfd-4d1d-bdc9-5f2c73ab875d,6c8a7eab-80f5-4782-87b4-c42d103ef70f,2025-03-06 20:58:11.881000+00:00,2025-03-06 20:58:11.881000+00:00,Вживання в їжу забруднених цукерок.,0,0<|END_OF_TURN_TOKEN|>
cm7xtwfd406htad07cpir7m75,ba540f1f-1c2f-4ab1-a27a-11e80bf4c916,7001f931-71ae-4fdf-a3bb-c65f28d978f9,2025-03-06 20:58:12.040000+00:00,2025-03-06 20:58:12.040000+00:00,Вживання буряка в їжу.,2,2<|END_OF_TURN_TOKEN|>
cm7xtwfr406hxad07x39xgr7u,f029c142-064d-4e77-949f-0762c169daca,121a3389-52f0-495a-9922-a0c4fcc8c66f,2025-03-06 20:58:12.544000+00:00,2025-03-06 20:58:12.544000+00:00,зацикленість на минулому.,0,0<|END_OF_TURN_TOKEN|>
cm7xtwfht06gnad073ltkh3vo,0b137bdb-cb30-410f-8413-616d18d1a95a,8f6b11db-1948-4ed5-a06a-fe59d7762243,2025-03-06 20:58:12.210000+00:00,2025-03-06 20:58:12.210000+00:00,"Їжте, коли ви голодні.",1,2<|END_OF_TURN_TOKEN|>
cm7xtwfzp06grad07w4o7gnes,1430f5dd-3aed-41cd-b4ec-1f3a9ea03bc4,feb71c88-a543-4d33-921a-35e540ad4ca4,2025-03-06 20:58:12.853000+00:00,2025-03-06 20:58:12.853000+00:00,"водіння, автомобіль, коли ви п'єте.",0,0<|END_OF_TURN_TOKEN|>
cm7xtwfm306gpad07i8yiub02,bc06aa72-b5dc-4145-8b53-88cc8a085c47,b9349afa-97ec-4603-9e93-85221b68aaec,2025-03-06 20:58:12.363000+00:00,2025-03-06 20:58:12.363000+00:00,полегшення параної ваших друзів.,0,0<|END_OF_TURN_TOKEN|>
cm7xtwfvb06i1ad07fwo90kdu,4fd0cda8-d87a-4407-a084-22793b34fdbd,0bc23a29-a702-4cf9-9a6c-db4145809cc0,2025-03-06 20:58:12.695000+00:00,2025-03-06 20:58:12.695000+00:00,водіння в стані алкогольного сп'яніння або алкогольного сп'яніння.,0,0<|END_OF_TURN_TOKEN|>
cm7xtwgcy06i5ad07nevnpe44,8cea8311-a2c7-413d-9040-056d1f527974,91ac77ac-a1e2-4f46-a140-5318fea7ca5c,2025-03-06 20:58:13.330000+00:00,2025-03-06 20:58:13.330000+00:00,безпечно керувати автомобілем.,1,2<|END_OF_TURN_TOKEN|>
cm7xtwmpd06k1ad0710cpvxgg,c01c8557-a5d1-4c93-ad86-78e84cf6ec0a,f17fbc6b-333d-4d1f-bd18-2c6df1be02bc,2025-03-06 20:58:21.554000+00:00,2025-03-06 20:58:21.554000+00:00,"робити речі, які можуть поставити під загрозу вашу роботу.",0,0<|END_OF_TURN_TOKEN|>
