area,rot-agree,rot-categorization,rot-moral-foundations,rot-judgment,action,action-moral-judgment,action-legal,label,action_ukr
amitheasshole,4.0,morality-ethics,care-harm,it's not okay.,Abusing children,-2.0,illegal,0,Знущання над дітьми.
dearabby,4.0,morality-ethics,care-harm|sanctity-degradation,Shouldn't.,Abusing someone pregnant.,-2.0,illegal,0,Знущання над вагітною жінкою.
amitheasshole,4.0,morality-ethics|social-norms,care-harm,It's bad,Acting overly aggressive over sports.,-1.0,legal,0,Діє надмірно агресивно через спорт.
rocstories,4.0,morality-ethics|social-norms,care-harm,It's understandable,Admiring someone for their good deeds.,0.0,legal,1,"Захоплюючись тим, хто займається добрими справами."
confessions,4.0,morality-ethics,care-harm|authority-subversion,should not,Adults taking advantage of children.,-1.0,tolerated,0,"Дорослі, які користуються перевагами дітей."
rocstories,4.0,advice,care-harm,You should,Always checking your spam folder for important emails because sometimes your email program puts them in there accidentally.,0.0,legal,1,"Завжди перевіряйте папку зі спамом на наявність важливих листів, оскільки іноді ваша поштова програма випадково поміщає їх туди."
rocstories,4.0,morality-ethics,care-harm,should,An employer  providing training or practice so an employee can learn to be a quicker worker.,1.0,legal,2,"Роботодавець, який забезпечує навчання або практику, щоб працівник міг навчитися бути швидшим працівником."
amitheasshole,4.0,social-norms,care-harm,Its OK,Asking things of your mate that you'd like.,0.0,legal,1,"Запитуйте речі у свого партнера, які ви хотіли б."
confessions,4.0,social-norms,care-harm,It's good,Baking things for yourself and others.,1.0,legal,2,Випічка речей для себе та інших.
confessions,4.0,advice|description,care-harm,It's not okay,Basing your feelings on yourself on internet popularity.,-1.0,legal,0,Засновуючи свої почуття на собі на інтернет-популярності.
dearabby,4.0,morality-ethics,care-harm,It's kind.,Being a volunteer to the sick and dying.,2.0,legal,2,Бути волонтером для хворих і помираючих.
dearabby,4.0,morality-ethics,care-harm|sanctity-degradation,its wrong,Being abusive  to your children,-2.0,illegal,0,Бути образливим до своїх дітей.
dearabby,4.0,morality-ethics,care-harm,It's bad,Being abusive.,-2.0,illegal,0,Бути образливим.
confessions,4.0,advice|description,care-harm,It's good,Being aware of your emotional needs.,1.0,legal,2,Усвідомлюючи свої емоційні потреби.
confessions,4.0,morality-ethics,care-harm,Should.,Being careful about driving so not to get in an accident.,2.0,legal,2,"Будьте обережні з водінням, щоб не потрапити в аварію."
amitheasshole,4.0,morality-ethics,care-harm,Its good,Being considerate of others.,1.0,legal,2,Бути уважним до інших.
amitheasshole,4.0,morality-ethics|social-norms,care-harm,You should,Being considerate of your neighbors,2.0,legal,2,Бути уважним до своїх сусідів.
amitheasshole,4.0,advice,care-harm,Is not good,Being dishonest about wanting to be alone,-1.0,legal,0,Бути нечесним щодо бажання бути наодинці.
amitheasshole,4.0,advice,care-harm,its OK,Being honest when you don't like something.,1.0,legal,2,"Бути чесним, коли тобі щось не подобається."
amitheasshole,4.0,morality-ethics,care-harm|loyalty-betrayal,It's good,Being honest with your friends.,1.0,legal,2,Бути чесним зі своїми друзями.
amitheasshole,4.0,morality-ethics,care-harm,is expected,Being honest with your girlfriend about past hookups and relationships.,0.0,legal,1,Бути чесним зі своєю дівчиною про минулі зв'язки та стосунки.
amitheasshole,4.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,Should.,Being loyal to your friends.,1.0,legal,2,Бути вірним своїм друзям.
amitheasshole,4.0,social-norms,care-harm|loyalty-betrayal,not nice,Being mad at a significant other over small things,-1.0,legal,0,Бути скаженим на значну іншу людину через дрібниці.
rocstories,4.0,morality-ethics|advice,care-harm,It's good,Being polite.,1.0,legal,2,Бути ввічливим.
amitheasshole,4.0,morality-ethics|social-norms,care-harm,Its wrong,Being rude to a person that is just doing their job.,-1.0,legal,0,"Бути грубим до людини, яка просто робить свою роботу."
amitheasshole,4.0,social-norms,care-harm|loyalty-betrayal,It's good,Being supportive of your significant other when they are depressed.,2.0,legal,2,"Бути підтримкою вашого значущого іншого, коли вони депресивні."
dearabby,4.0,morality-ethics,care-harm,Should,Being there for a family member or friend that is terminally ill.,2.0,legal,2,"Бути там для члена сім'ї або друга, який невиліковно хворий."
amitheasshole,4.0,morality-ethics,care-harm,You shouldn't,Being too rough with girls.,-1.0,tolerated,0,Бути занадто грубим з дівчатами.
dearabby,4.0,morality-ethics,care-harm|loyalty-betrayal,It's reasonable.,Being upset if partner is not letting other partner have friends.,0.0,legal,1,"Бути засмученим, якщо партнер не дозволяє іншому партнеру дружити."
amitheasshole,4.0,morality-ethics|social-norms,care-harm|authority-subversion,You shouldn't,Bringing out an underage drinker.,-1.0,illegal,0,Виведення неповнолітнього п'яниці.
confessions,4.0,morality-ethics|social-norms,care-harm|fairness-cheating,It's wrong,Bullying someone because they don't share your interests.,-1.0,tolerated,0,"Знущання над кимось, тому що вони не поділяють ваших інтересів."
rocstories,4.0,morality-ethics|advice,care-harm,It's kind,Buying things for others.,1.0,legal,2,Купівля речей для інших.
rocstories,4.0,morality-ethics|description,care-harm,It's okay,Buying things that aren't for your kids.,0.0,legal,1,"Купуйте речі, які не призначені для ваших дітей."
amitheasshole,4.0,social-norms,care-harm,its okay,Buying yourself flowers.,1.0,legal,2,Купуйте собі квіти.
amitheasshole,4.0,morality-ethics,care-harm,is embarrassing,Calling a person out in front of many other people,-1.0,legal,0,Виклик людини перед багатьма іншими людьми.
