area,rot-agree,rot-categorization,rot-moral-foundations,rot-judgment,action,action-moral-judgment,action-legal,label,action_ukr,action_ukr_spivavtor,action_ukr_s_gec
amitheasshole,4.0,morality-ethics,care-harm,it's not okay.,Abusing children,-2.0,illegal,0,Жорстоке поводження з дітьми,Жорстоке поводження з дітьми,Жорстоке поводження з дітьми
dearabby,4.0,morality-ethics,care-harm|sanctity-degradation,Shouldn't.,Abusing someone pregnant.,-2.0,illegal,0,Знущання над вагітною жінкою.,Знущання над вагітною жінкою.,Знущання над вагітною жінкою.
amitheasshole,4.0,morality-ethics|social-norms,care-harm,It's bad,Acting overly aggressive over sports.,-1.0,legal,0,Надмірно агресивне ставлення до спорту.,Надмірно агресивне ставлення до спорту.,Надмірно агресивне ставлення до спорту.
rocstories,4.0,morality-ethics|social-norms,care-harm,It's understandable,Admiring someone for their good deeds.,0.0,legal,1,Захоплення кимось за його добрі вчинки.,Захоплення кимось за його добрі вчинки.,Захоплення кимось за його добрі вчинки.
confessions,4.0,morality-ethics,care-harm|authority-subversion,should not,Adults taking advantage of children.,-1.0,tolerated,0,Дорослі використовують дітей.,Дорослі використовують дітей.,Дорослі використовують дітей.
rocstories,4.0,advice,care-harm,You should,Always checking your spam folder for important emails because sometimes your email program puts them in there accidentally.,0.0,legal,1,"Завжди перевіряйте папку ""Спам"" на наявність важливих листів, тому що іноді ваша поштова програма потрапляє туди випадково.","Завжди перевіряйте папку ""Спам"" на наявність важливих листів, тому що іноді ваша поштова програма потрапляє туди випадково.","Завжди перевіряйте папку ""Спам"" на наявність важливих листів, тому що іноді ваша поштова програма потрапляє туди випадково."
rocstories,4.0,morality-ethics,care-harm,should,An employer  providing training or practice so an employee can learn to be a quicker worker.,1.0,legal,2,"Роботодавець забезпечує навчання або практику, щоб працівник міг навчитися працювати швидше.","Роботодавець забезпечує навчання або практику, щоб працівник міг навчитися працювати швидше.","Роботодавець забезпечує навчання або практику, щоб працівник міг навчитися працювати швидше."
amitheasshole,4.0,social-norms,care-harm,Its OK,Asking things of your mate that you'd like.,0.0,legal,1,"Просити свого партнера про те, чого б ви хотіли.","Просити свого партнера про те, чого б ви хотіли.","Просити свого партнера про те, чого б ви хотіли."
confessions,4.0,social-norms,care-harm,It's good,Baking things for yourself and others.,1.0,legal,2,Випікаємо щось для себе та інших.,Випікаємо щось для себе та інших.,Випікаємо щось для себе та інших.
confessions,4.0,advice|description,care-harm,It's not okay,Basing your feelings on yourself on internet popularity.,-1.0,legal,0,Засновувати свої почуття на популярності в інтернеті.,Засновувати свої почуття на популярності в інтернеті.,Засновувати свої почуття на популярності в інтернеті.
dearabby,4.0,morality-ethics,care-harm,It's kind.,Being a volunteer to the sick and dying.,2.0,legal,2,Бути волонтером для хворих і вмираючих.,Бути волонтером для хворих і вмираючих.,Бути волонтером для хворих і вмираючих.
dearabby,4.0,morality-ethics,care-harm|sanctity-degradation,its wrong,Being abusive  to your children,-2.0,illegal,0,Жорстоке поводження з дітьми,Жорстоке поводження з дітьми,Жорстоке поводження з дітьми
dearabby,4.0,morality-ethics,care-harm,It's bad,Being abusive.,-2.0,illegal,0,Бути жорстоким.,Бути жорстоким.,Бути жорстоким.
confessions,4.0,advice|description,care-harm,It's good,Being aware of your emotional needs.,1.0,legal,2,Усвідомлення своїх емоційних потреб.,Усвідомлення своїх емоційних потреб.,Усвідомлення своїх емоційних потреб.
confessions,4.0,morality-ethics,care-harm,Should.,Being careful about driving so not to get in an accident.,2.0,legal,2,"Бути обережним за кермом, щоб не потрапити в аварію.","Бути обережним за кермом, щоб не потрапити в аварію.","Бути обережним за кермом, щоб не потрапити в аварію."
amitheasshole,4.0,morality-ethics,care-harm,Its good,Being considerate of others.,1.0,legal,2,Бути уважним до інших.,Бути уважним до інших.,Бути уважним до інших.
amitheasshole,4.0,morality-ethics|social-norms,care-harm,You should,Being considerate of your neighbors,2.0,legal,2,Бути уважним до своїх сусідів,Бути уважним до своїх сусідів,Бути уважним до своїх сусідів
amitheasshole,4.0,advice,care-harm,Is not good,Being dishonest about wanting to be alone,-1.0,legal,0,Бути нечесним у бажанні побути на самоті,Бути нечесним у бажанні побути на самоті,Бути нечесним у бажанні побути на самоті
amitheasshole,4.0,advice,care-harm,its OK,Being honest when you don't like something.,1.0,legal,2,"Бути чесним, коли тобі щось не подобається.","Бути чесним, коли тобі щось не подобається.","Бути чесним, коли тобі щось не подобається."
amitheasshole,4.0,morality-ethics,care-harm|loyalty-betrayal,It's good,Being honest with your friends.,1.0,legal,2,Бути чесним зі своїми друзями.,Бути чесним зі своїми друзями.,Бути чесним зі своїми друзями.
amitheasshole,4.0,morality-ethics,care-harm,is expected,Being honest with your girlfriend about past hookups and relationships.,0.0,legal,1,Бути чесним зі своєю дівчиною про минулі зв'язки та стосунки.,Бути чесним зі своєю дівчиною про минулі зв'язки та стосунки.,Бути чесним зі своєю дівчиною про минулі зв'язки та стосунки.
amitheasshole,4.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,Should.,Being loyal to your friends.,1.0,legal,2,Бути вірним своїм друзям.,Бути вірним своїм друзям.,Бути вірним своїм друзям.
amitheasshole,4.0,social-norms,care-harm|loyalty-betrayal,not nice,Being mad at a significant other over small things,-1.0,legal,0,Злитися на другу половинку через дрібниці,Злитися на другу половинку через дрібниці,Злитися на другу половинку через дрібниці
rocstories,4.0,morality-ethics|advice,care-harm,It's good,Being polite.,1.0,legal,2,Бути ввічливим.,Бути ввічливим.,Бути ввічливим.
amitheasshole,4.0,morality-ethics|social-norms,care-harm,Its wrong,Being rude to a person that is just doing their job.,-1.0,legal,0,"Грубіянити людині, яка просто виконує свою роботу.","Грубіянити людині, яка просто виконує свою роботу.","Грубіянити людині, яка просто виконує свою роботу."
amitheasshole,4.0,social-norms,care-harm|loyalty-betrayal,It's good,Being supportive of your significant other when they are depressed.,2.0,legal,2,"Підтримувати свою другу половинку, коли вона в депресії.","Підтримувати свою другу половинку, коли вона в депресії.","Підтримувати свою другу половинку, коли вона в депресії."
dearabby,4.0,morality-ethics,care-harm,Should,Being there for a family member or friend that is terminally ill.,2.0,legal,2,Бути поруч з невиліковно хворим членом сім'ї або другом.,Бути поруч із невиліковно хворим членом сім'ї або другом.,Бути поруч із невиліковно хворим членом сім'ї або другом.
amitheasshole,4.0,morality-ethics,care-harm,You shouldn't,Being too rough with girls.,-1.0,tolerated,0,Бути занадто грубим з дівчатами.,Бути занадто грубим з дівчатами.,Бути занадто грубим з дівчатами.
dearabby,4.0,morality-ethics,care-harm|loyalty-betrayal,It's reasonable.,Being upset if partner is not letting other partner have friends.,0.0,legal,1,"Засмучуватися, якщо партнер не дозволяє іншому партнеру мати друзів.","Засмучуватися, якщо партнер не дозволяє іншому партнеру мати друзів.","Засмучуватися, якщо партнер не дозволяє іншому партнеру мати друзів."
amitheasshole,4.0,morality-ethics|social-norms,care-harm|authority-subversion,You shouldn't,Bringing out an underage drinker.,-1.0,illegal,0,Виводимо неповнолітнього п'яницю.,Виводимо неповнолітнього п'яницю.,Виводимо неповнолітнього п'яницю.
