model_name,hard_accuracy,bad_hard_accuracy,bad_precision,bad_recall,bad_f1_score,f1_score,soft_accuracy,Translation,Language
Llama-3.2-3B-Instruct,0.6419451236077153,0.8418604651162791,0.9435273675065161,0.8418604651162791,0.8897992625972961,0.6083864853250619,0.9179570768812823,,English
Llama-3.2-3B-Instruct,0.3525258011950027,0.040310077519379844,0.9285714285714286,0.040310077519379844,0.07726597325408618,0.2925918355867317,0.5898967952199892,Claude 3.7,Ukrainian
Llama-3.2-3B-Instruct,0.35958718087995656,0.04108527131782946,0.9137931034482759,0.04108527131782946,0.07863501483679525,0.3010629118405755,0.5882672460619228,DeepL,Ukrainian
Llama-3.2-3B-Instruct,0.3750678978815861,0.06046511627906977,0.9285714285714286,0.06046511627906977,0.11353711790393013,0.32285748629279587,0.5909831613253667,Dragoman,Ukrainian
Qwen2.5-7B-Instruct,0.6512764801738186,0.9782945736434109,0.8452779638312123,0.9782945736434109,0.9069349622709306,0.5855537830396932,0.9532862574687669,,English
Qwen2.5-7B-Instruct,0.5499728408473655,0.8209302325581396,0.7591397849462366,0.8209302325581396,0.788826815642458,0.5386453377069127,0.8278109722976643,Claude 3.7,Ukrainian
Qwen2.5-7B-Instruct,0.5472569255839218,0.8162790697674419,0.7788461538461539,0.8162790697674419,0.7971233913701741,0.5307224580724593,0.8337859858772406,DeepL,Ukrainian
Qwen2.5-7B-Instruct,0.5395703018765298,0.8020186335403726,0.728490832157969,0.8020186335403726,0.7634885439763488,0.5263434678800821,0.817514277943976,Dragoman,Ukrainian
aya-101,0.6349809885931559,0.9813953488372092,0.7412177985948478,0.9813953488372092,0.8445630420280187,0.5235190689765005,0.9725692558392178,,English
aya-101,0.6488321564367192,0.8403100775193798,0.8522012578616353,0.8403100775193798,0.8462138953942233,0.6161514530303375,0.9139054861488322,Claude 3.7,Ukrainian
aya-expanse-8b,0.6485605649103748,0.9705426356589147,0.9020172910662824,0.9705426356589147,0.935026138909634,0.5451352719255099,0.9856056491037479,,English
aya-expanse-8b,0.6417707767517653,0.9589147286821705,0.879800853485064,0.9589147286821705,0.9176557863501483,0.536584448261457,0.9801738185768604,Claude 3.7,Ukrainian
aya-expanse-8b,0.6385116784356328,0.9558139534883721,0.8794579172610556,0.9558139534883721,0.9160475482912332,0.5325745677358064,0.9782726778924498,DeepL,Ukrainian
aya-expanse-8b,0.6303639326453014,0.9364341085271318,0.8653295128939829,0.9364341085271318,0.8994787788533135,0.5256803273232079,0.9701249321021184,Dragoman,Ukrainian
gemma-2-9b-it,0.6944595328625747,0.9457364341085271,0.9629044988161011,0.9457364341085271,0.9542432538130622,0.652886644530116,0.9657794676806084,,English
gemma-2-9b-it,0.6952743074416078,0.9310077519379845,0.9404855129209084,0.9310077519379845,0.9357226334242306,0.6682307037094368,0.9413362303096143,Claude 3.7,Ukrainian
gemma-2-9b-it,0.6990765888104291,0.9294573643410853,0.9396551724137931,0.9294573643410853,0.9345284489477786,0.6731659146099761,0.9416078218359587,DeepL,Ukrainian
gemma-2-9b-it,0.6868549701249321,0.9108527131782945,0.9273875295974744,0.9108527131782945,0.9190457567461869,0.6626598787126703,0.9293862031504617,Dragoman,Ukrainian
gpt-4o.csv,0.6787072243346007,0.9395348837209302,0.9657370517928286,0.9395348837209302,0.9524557956777996,0.6221465000477503,0.9731124388919066,,English
gpt-4o.csv,0.6792504073872895,0.9209302325581395,0.9596122778675282,0.9209302325581395,0.939873417721519,0.6308229161948745,0.9638783269961977,Claude 3.7,Ukrainian
