id,dataset_item_id,trace_id,created_at,updated_at,query,expected_output,prediction
cm8hl6e1a07eqad07ccjywk4u,04e8af2a-4365-4006-afd2-13ceeb9981a9,816923aa-fee8-4a59-b73f-48433c765b6b,2025-03-20 16:49:23.854000+00:00,2025-03-20 16:49:23.854000+00:00,you choosing your pets carefully so you get the right one.,1,2
cm8hl6fc707euad07mdzgtyn6,ad7cc867-89b3-440c-91be-56d8afd8cb35,490bcf2f-d2b9-4b5d-ac09-f11c6c85755d,2025-03-20 16:49:25.544000+00:00,2025-03-20 16:49:25.544000+00:00,writing your plans down if you are forgetful.,1,2
cm8hl6gwp07eyad07hh971cis,d110cbb7-f763-4266-a7a3-cf6ad1aaefde,fc7c1efc-f4a6-4e73-b5e0-b3e14e4caa21,2025-03-20 16:49:27.577000+00:00,2025-03-20 16:49:27.577000+00:00,worrying about something all the time,0,0
cm8hl6i6507f2ad07iv5fivzf,b0a9e433-98af-4543-8899-3c6e96202946,91816533-62ea-40bc-9315-d9034c237245,2025-03-20 16:49:29.213000+00:00,2025-03-20 16:49:29.213000+00:00,working to advance social justice causes that you believe in,2,2
cm8hl6ihz07f6ad07g8hf3ygk,d2481783-5143-4439-8760-5503f08599f3,72feb42d-3489-4d3a-8865-49bc316a9d78,2025-03-20 16:49:29.639000+00:00,2025-03-20 16:49:29.639000+00:00,working thru problems you have to complete the task that you're doing.,2,2
cm8hl6jqx07faad0788cpwlkj,7e40b98d-13ab-4b1b-9fc1-1e00f540f5c6,6a91ebdc-83c3-41e6-a07a-9b5a08694881,2025-03-20 16:49:31.257000+00:00,2025-03-20 16:49:31.257000+00:00,working on improving yourself.,2,2
cm8hl6l2f07fead07lluafzkn,24c17bb4-293c-4e7f-a5f7-84caab5e257f,cbbea598-50fc-430d-a21b-4d837b5a40e2,2025-03-20 16:49:32.968000+00:00,2025-03-20 16:49:32.968000+00:00,working hard for your family.,2,2
cm8hl6mju07fiad070uvz2rw7,5bacaf18-f67d-464a-855e-d723409b84f3,0149927c-0efc-4863-a6de-b2e192afb429,2025-03-20 16:49:34.890000+00:00,2025-03-20 16:49:34.890000+00:00,working and not being homeless.,1,2
cm8hl6pyo07fqad07bc46feid,903ae96c-6bb9-46a4-897e-aea9e87cd05a,51c3f198-a608-45d9-b6a7-aa4e5a72a060,2025-03-20 16:49:39.313000+00:00,2025-03-20 16:49:39.313000+00:00,wishing harm on another person,0,0
cm8hl6rjh07fuad07tt5j5ht5,bc8dcd9d-b9d8-4c46-a9ed-498a87985d64,02af9840-d85d-44f7-aeb4-ee66c75d2c61,2025-03-20 16:49:41.357000+00:00,2025-03-20 16:49:41.357000+00:00,wishing death on anyone.,0,0
cm8hl73sh07h3ad0706myzahr,555bb4c8-cfa0-4ab1-9a01-6bc7bef83d84,1aab9cb2-4b15-4fcd-b7a8-479fe4d98afd,2025-03-20 16:49:57.233000+00:00,2025-03-20 16:49:57.233000+00:00,wanting to work toward a goal.,2,2
cm8hl6qlh0607ad07nifsl1dq,d1e829be-9d4d-4032-b253-742e47d6fb65,ed011dc1-ee65-4b78-baef-fb9cd8994a93,2025-03-20 16:49:40.133000+00:00,2025-03-20 16:49:40.133000+00:00,wishing death upon your partner's relative.,0,0
cm8hl6r80060bad07ooww2ifw,80b01077-e922-44f7-86bf-9f1cb0c0f688,932763c4-95a7-4b35-b7f5-2c000d1a3a3a,2025-03-20 16:49:40.944000+00:00,2025-03-20 16:49:40.944000+00:00,wishing death on your family.,0,0
cm8hl6s2p060fad07cah0inh5,ea005305-7685-4508-81c2-755ba82212aa,c55613f2-2aa6-4840-8d53-a0e8ffddf117,2025-03-20 16:49:42.049000+00:00,2025-03-20 16:49:42.049000+00:00,"when your partner is injured, taking them to the hospital",1,2
cm8hl7a5e061rad07wa3f7s7k,dd80a490-f226-4063-a905-76810d398c64,f605c120-04eb-47e6-b354-e4d641eff00c,2025-03-20 16:50:05.474000+00:00,2025-03-20 16:50:05.474000+00:00,wanting to protect children.,1,2
cm8hl7bqs061vad079v5d7vtt,053a6a51-2eff-4960-85d4-92d0d752656a,adcb83aa-b283-42cc-b8f0-6b261ad5088b,2025-03-20 16:50:07.540000+00:00,2025-03-20 16:50:07.540000+00:00,wanting to lose weight responsibly.,1,2
cm8hl7d0p061zad0766qz24ox,1467f9ed-0d0f-4296-a492-2134cd0d2798,d6699d1a-3591-4a77-b3d0-ad13e70b0a1d,2025-03-20 16:50:09.194000+00:00,2025-03-20 16:50:09.194000+00:00,wanting to leave someone.,1,1
cm8hl7ex00623ad075wxg98q6,a5071bd0-c9d2-4048-bca9-fb3a107733d6,524365ab-6f8b-481f-a387-eecbe3c87120,2025-03-20 16:50:11.652000+00:00,2025-03-20 16:50:11.652000+00:00,wanting to keep some things private from your children.,1,1
cm8hl72ty07jsad07s5zzq2e1,9869642c-2dae-4ca6-840f-6d324c61b56f,c8c9fbd2-3f81-479e-bd2a-3013fe17eb57,2025-03-20 16:49:55.991000+00:00,2025-03-20 16:49:55.991000+00:00,wanting what is best for others,2,2
cm8hl6edv07hkad07clipw2ul,8497d631-d9ed-4395-912e-cd8a733f47c1,90658aa7-bf74-49d4-84e1-77e372c513d3,2025-03-20 16:49:24.307000+00:00,2025-03-20 16:49:24.307000+00:00,yelling at your grandparents.,0,0
cm8hl6fnk07hoad07niazmtgh,5c7cd242-f723-4036-8662-7f2be5a8be90,e0bb3254-4eb9-4148-bb13-3097ece978f6,2025-03-20 16:49:25.952000+00:00,2025-03-20 16:49:25.952000+00:00,writing out your thoughts.,1,2
cm8hl6h8707hsad07po69pak6,4018a4d6-646a-4278-9e60-223cf8b8ef72,9182a880-3d3c-4fe1-aa46-22f980f0e57c,2025-03-20 16:49:27.992000+00:00,2025-03-20 16:49:27.992000+00:00,working when you don't have to work.,2,2
cm8hl6itl07hwad07tpsykp1v,29e2dd17-c127-4efb-ae3b-73cabd7ab4d0,ed5f1c3a-b66f-4ba4-b579-ddc3df3d68c5,2025-03-20 16:49:30.057000+00:00,2025-03-20 16:49:30.057000+00:00,working through your problems in a marriage.,2,2
cm8hl6tbh07iwad07zw0np4cn,f4c268d2-7b0c-454e-a2aa-e46f57ef3cf5,31fe1f3a-3732-464b-8df2-ec9d7425ae18,2025-03-20 16:49:43.661000+00:00,2025-03-20 16:49:43.661000+00:00,wearing whatever emotional mask allows them to get through the day.,2,1
cm8hl711i07jkad07hgb40qun,14d9ae1b-0c6c-4710-84ea-3b9fd52c7bb0,ef4e8a17-472f-4e09-aa57-2ac7038bab84,2025-03-20 16:49:53.671000+00:00,2025-03-20 16:49:53.671000+00:00,wanting your parents to be proud of you.,1,2
cm8hl71d107joad07vj69uqxh,0ea4e2b2-e5eb-41a3-a0d9-ec72813d14ac,cba99068-a4ba-49bc-9aff-7adba84a754e,2025-03-20 16:49:54.085000+00:00,2025-03-20 16:49:54.085000+00:00,wanting your parents to apologize first if they are wrong.,0,1
cm8hl9ku307p2ad07kjoikskh,e3ffc234-3ae4-41f2-97d7-466c4a64bb91,94fa2c3b-d31f-4051-a17e-ad80533f33dd,2025-03-20 16:51:52.636000+00:00,2025-03-20 16:51:52.636000+00:00,thanking people for things,2,2
cm8hl9lxy07p6ad07onzpfqqr,8a7520e9-5122-47b4-a607-e3cf7406219e,dcd28076-7bdd-478b-9bac-37621989314d,2025-03-20 16:51:54.070000+00:00,2025-03-20 16:51:54.070000+00:00,temporary placing your stuff somewhere so you can quickly do something else.,1,1
cm8hl9mvz07paad07gz7ffinh,2542a980-f2fb-4e77-8c14-320835092a72,b00cc2c4-36e9-4dd8-895c-6bfa4643024c,2025-03-20 16:51:55.295000+00:00,2025-03-20 16:51:55.295000+00:00,telling your partner what to do during their time away from you.,0,0
