area,rot-agree,rot-categorization,rot-moral-foundations,rot-judgment,action,action-moral-judgment,action-legal,label
rocstories,3.0,social-norms,care-harm,can,A nice outfit giving a woman confidence.,0.0,legal,1
amitheasshole,4.0,morality-ethics,care-harm,it's not okay.,Abusing children,-2.0,illegal,0
dearabby,4.0,morality-ethics,care-harm|sanctity-degradation,Shouldn't.,Abusing someone pregnant.,-2.0,illegal,0
rocstories,3.0,morality-ethics,care-harm,It's good,Accepting someone's help.,1.0,legal,2
amitheasshole,3.0,social-norms,care-harm,it's polite,Acknowledging someone for giving you something.,1.0,legal,2
amitheasshole,4.0,morality-ethics|social-norms,care-harm,It's bad,Acting overly aggressive over sports.,-1.0,legal,0
rocstories,4.0,morality-ethics|social-norms,care-harm,It's understandable,Admiring someone for their good deeds.,0.0,legal,1
confessions,4.0,morality-ethics,care-harm|authority-subversion,should not,Adults taking advantage of children.,-1.0,tolerated,0
rocstories,3.0,advice,care-harm,irresponsible,Allowing your blood sugar to drop too low,-1.0,legal,0
confessions,3.0,morality-ethics,care-harm|loyalty-betrayal,You should,Always being there for your friends.,2.0,legal,2
rocstories,4.0,advice,care-harm,You should,Always checking your spam folder for important emails because sometimes your email program puts them in there accidentally.,0.0,legal,1
rocstories,3.0,advice,care-harm,You should,Always going to the ER if you feel sick or are injured.,0.0,legal,1
rocstories,3.0,morality-ethics,care-harm|fairness-cheating,You should,Always making the right choice.,0.0,legal,1
rocstories,4.0,morality-ethics,care-harm,should,An employer  providing training or practice so an employee can learn to be a quicker worker.,1.0,legal,2
confessions,3.0,morality-ethics|description,care-harm,are important,Animals shelters are a way of making sure animals are cared for.,1.0,legal,2
rocstories,3.0,morality-ethics|social-norms,care-harm|fairness-cheating,is rude,Arriving late for something,-1.0,legal,0
rocstories,3.0,morality-ethics|social-norms,care-harm,it's respectful,"As a man, giving women privacy in public settings.",1.0,legal,2
amitheasshole,3.0,morality-ethics|social-norms,care-harm,is disrespectful.,Asking a woman to go home after you have sex with them,-1.0,legal,0
rocstories,3.0,advice,care-harm,Should.,Asking people what you did the night before if unable to remember.,1.0,legal,2
amitheasshole,4.0,social-norms,care-harm,Its OK,Asking things of your mate that you'd like.,0.0,legal,1
amitheasshole,3.0,description,care-harm,can be rude,Asking your girlfriend to repeat herself,-1.0,legal,0
confessions,4.0,social-norms,care-harm,It's good,Baking things for yourself and others.,1.0,legal,2
confessions,4.0,advice|description,care-harm,It's not okay,Basing your feelings on yourself on internet popularity.,-1.0,legal,0
dearabby,4.0,morality-ethics,care-harm,It's kind.,Being a volunteer to the sick and dying.,2.0,legal,2
dearabby,4.0,morality-ethics,care-harm|sanctity-degradation,its wrong,Being abusive  to your children,-2.0,illegal,0
dearabby,4.0,morality-ethics,care-harm,It's bad,Being abusive.,-2.0,illegal,0
confessions,4.0,advice|description,care-harm,It's good,Being aware of your emotional needs.,1.0,legal,2
confessions,4.0,morality-ethics,care-harm,Should.,Being careful about driving so not to get in an accident.,2.0,legal,2
amitheasshole,4.0,morality-ethics,care-harm,Its good,Being considerate of others.,1.0,legal,2
