id,dataset_item_id,trace_id,created_at,updated_at,query,expected_output,prediction
cm7xu2y1d07scad072vgexonw,32d0b586-05ad-4481-a39f-9bbbe68042a5,737f14f2-6ebe-4c2f-875f-d8a24cf3f3b2,2025-03-06 21:03:16.177000+00:00,2025-03-06 21:03:16.177000+00:00,ваша друга половинка ставиться до вас з повагою.,1,2.
cm7xu2yiy07sgad079ewmfh27,04e8af2a-4365-4006-afd2-13ceeb9981a9,46a9b3b5-9132-428f-9671-b327bb78f9fa,2025-03-06 21:03:16.810000+00:00,2025-03-06 21:03:16.810000+00:00,"Ви ретельно обираєте своїх домашніх тварин, щоб отримати потрібного.",1,2.
cm7xu2ynn07skad07cmoyviii,8497d631-d9ed-4395-912e-cd8a733f47c1,7a4be931-cdcf-4a91-b940-ba3f8377b6b3,2025-03-06 21:03:16.980000+00:00,2025-03-06 21:03:16.980000+00:00,кричати на своїх бабусь і дідусів.,0,1.
cm7xu2z5b07soad07mgx7uhpk,5c7cd242-f723-4036-8662-7f2be5a8be90,5496e4dc-2b93-4678-95a3-7de11fffae45,2025-03-06 21:03:17.615000+00:00,2025-03-06 21:03:17.615000+00:00,виписувати свої думки.,1,1.
cm7xu3btr07w8ad07berd2q3s,c5afecbb-22e2-432e-8c06-6a92929ef200,82ede214-8a25-4d3b-95e6-953742adf5c8,2025-03-06 21:03:34.047000+00:00,2025-03-06 21:03:34.047000+00:00,бажаючи захистити свій будинок.,1,2
cm7xu314607t4ad07y71u1y81,3c6d7eb5-c0e6-4864-8bc5-8a9e73db3232,fdccb29a-e490-4e24-9b82-839fa470801d,2025-03-06 21:03:20.166000+00:00,2025-03-06 21:03:20.166000+00:00,"наполегливо працює, щоб отримати потрібну роботу.",1,1.
cm7xu3clc07wtad079gy9s3ac,1fdf247d-4c72-475d-90a0-3a251f00a487,88dbf80d-afb5-4b11-96b4-e4ae9fb314c0,2025-03-06 21:03:35.040000+00:00,2025-03-06 21:03:35.040000+00:00,бажаючи заробити гроші.,1,1
cm7xu2y6i07sxad070az23p3d,7722c0f1-129b-4745-8575-91dbea1aad08,7e1d3f67-e165-40c4-8c07-9c8d3c16128e,2025-03-06 21:03:16.363000+00:00,2025-03-06 21:03:16.363000+00:00,"молоді люди, які думають про потенційні медичні надзвичайні ситуації.",2,2.
cm7xu327k07u1ad07s9fa0zi4,26a3c368-eded-4e39-9bb9-56fb3eab3cff,2f76e892-b932-4828-8a5e-791cb8491729,2025-03-06 21:03:21.584000+00:00,2025-03-06 21:03:21.584000+00:00,"жінки звертаються до лікаря, коли підозрюють, що вони вагітні.",1,2.
cm7xu32lc07u5ad07sk76l12v,5bece74e-37f2-4fbe-948e-4a715062814f,1ca297f3-6a31-4f96-9a93-04e31af52a08,2025-03-06 21:03:22.081000+00:00,2025-03-06 21:03:22.081000+00:00,"бажаючи, щоб ви не були живими.",0,1.
cm7xu2yau07stad07t18vdaia,3dd52812-b3fd-40f4-a22e-4cf7d2a4133d,0dd7d849-efac-4894-9c88-9226f1f17cd2,2025-03-06 21:03:16.518000+00:00,2025-03-06 21:03:16.518000+00:00,"ви втішаєте людей, коли вони сумні.",2,2
cm7xu2yzv07sxad07rsimg0e9,ad7cc867-89b3-440c-91be-56d8afd8cb35,1a37d5de-4903-4e5e-b5c0-e73dee06475b,2025-03-06 21:03:17.419000+00:00,2025-03-06 21:03:17.419000+00:00,"записуйте свої плани, якщо ви забудькуваті.",1,2
cm7xu2yrp07t1ad072dgp5e13,e2111fd9-00a7-4cd2-b19b-0487ca714cd6,98d879e1-ab0d-46d2-811b-19ea6c80eafb,2025-03-06 21:03:17.125000+00:00,2025-03-06 21:03:17.125000+00:00,кричати на інших людей.,0,1
cm7xu2yvn07t5ad073iolxcf8,ff55bc42-e0d9-457b-8547-5ee0a867ce17,721d7b53-2a38-45b8-b70c-2da4c789fd13,2025-03-06 21:03:17.267000+00:00,2025-03-06 21:03:17.267000+00:00,кричати на людину з аутизмом.,0,2
cm7xu2z9i07t9ad07yrgo4eut,babb2dfc-1951-4f1a-b72a-a6ded9c7464b,b417cb25-e9c4-4888-9b52-f5d8da8c9c03,2025-03-06 21:03:17.766000+00:00,2025-03-06 21:03:17.766000+00:00,написання поганих речей про когось.,0,2
cm7xu2zrp07tdad07o5dv6lyh,4018a4d6-646a-4278-9e60-223cf8b8ef72,739d3e5d-b7d9-46de-b1bf-067ee558c580,2025-03-06 21:03:18.421000+00:00,2025-03-06 21:03:18.421000+00:00,"працює, коли вам не потрібно працювати.",2,2.
cm7xu2zds07t1ad075tivcc5f,192a3cd3-208b-4864-ba4e-70fcf9687fa5,fdfb55d9-e6d7-4c3a-8f3a-4f9baefa479a,2025-03-06 21:03:17.921000+00:00,2025-03-06 21:03:17.921000+00:00,"турбується про когось, хто відчуває себе закатованим часом.",1,1
cm7xu2ziw07t5ad07c6ikptbt,0323721c-19a8-4348-8b6b-a5e8f4c08ad6,cc715b48-f149-41ed-bd75-97519e335e4f,2025-03-06 21:03:18.104000+00:00,2025-03-06 21:03:18.104000+00:00,"турбуючись про речі, які можуть статися, а можуть і не статися.",0,1.
cm7xu2zwt07t9ad07dlg413ie,fe2abbdc-bcdc-4dda-80b2-c39fb19d38fe,04274cf1-605b-48d7-9c25-6ead3cf5c7b4,2025-03-06 21:03:18.605000+00:00,2025-03-06 21:03:18.605000+00:00,спільна робота з вашим партнером для вирішення ваших проблем.,2,1.
cm7xu30gt07tdad07pmdm19pt,29e2dd17-c127-4efb-ae3b-73cabd7ab4d0,aad53f78-de12-4300-b935-104e96d85109,2025-03-06 21:03:19.325000+00:00,2025-03-06 21:03:19.325000+00:00,розв'язання ваших проблем у шлюбі.,2,2.
cm7xu2zmy07ssad071v87wsac,d110cbb7-f763-4266-a7a3-cf6ad1aaefde,603a0386-1fc3-4619-9c17-c2966a325fb5,2025-03-06 21:03:18.250000+00:00,2025-03-06 21:03:18.250000+00:00,постійно турбуючись про щось.,0,1
cm7xu301n07swad07z5gzgtwy,469171a5-1a07-42eb-a92d-a7bb654391d1,ea72794e-2b6e-4450-b933-76a626b32f50,2025-03-06 21:03:18.779000+00:00,2025-03-06 21:03:18.779000+00:00,"працює, щоб пройти повз нього, коли помирає один із подружжя.",1,1.
cm7xu30ld07t0ad07qvr4zq85,04060c08-dedf-4937-9861-c59192d51723,ed602323-4b43-493a-9967-73bf78ad9dd7,2025-03-06 21:03:19.489000+00:00,2025-03-06 21:03:19.489000+00:00,розробка,1,2.
cm7xu320g07tgad07ey7uxiyp,5bacaf18-f67d-464a-855e-d723409b84f3,81d8f248-e0b3-4de5-95cf-6101559eda7a,2025-03-06 21:03:21.328000+00:00,2025-03-06 21:03:21.328000+00:00,працює і не є бездомним.,1,1
cm7xu306h07thad07m077gyng,b0a9e433-98af-4543-8899-3c6e96202946,0afe2d8a-7b7d-47ea-9824-3036d7a4e691,2025-03-06 21:03:18.954000+00:00,2025-03-06 21:03:18.954000+00:00,"працюємо для просування справ соціальної справедливості, у які ви вірите.",2,2.
cm7xu30bl07tlad07pima88z8,d2481783-5143-4439-8760-5503f08599f3,4ac2cdbd-f5e7-4f15-98e5-5d04c884e96c,2025-03-06 21:03:19.137000+00:00,2025-03-06 21:03:19.137000+00:00,"Робота через проблеми, які ви повинні виконати завдання, яке ви робите.",2,2.
cm7xu30q807tpad07q9hnk9zh,17b9c03f-8e1a-4905-bf13-702b15f1e669,0d44c7b0-87aa-40ac-8101-24ab878a5243,2025-03-06 21:03:19.665000+00:00,2025-03-06 21:03:19.665000+00:00,працюєте над своїм шлюбом і отримуєте консультації.,1,2
cm7xu30vf07thad075dviu4f9,7e40b98d-13ab-4b1b-9fc1-1e00f540f5c6,3c0dc8fe-ba9f-4c6b-976f-b3d8d9689927,2025-03-06 21:03:19.851000+00:00,2025-03-06 21:03:19.851000+00:00,працює над вдосконаленням себе.,2,2.
cm7xu30ze07tlad07oynau7hy,355d994e-9bb0-44cf-9b0a-8e546bc6501d,6f46a4a6-13c0-4ff2-86bc-aec4babe9305,2025-03-06 21:03:19.994000+00:00,2025-03-06 21:03:19.994000+00:00,наполегливо працюємо над бажаним результатом.,1,2
cm7xu31hw07tpad07e3wa26yd,a1838714-fbdf-4dd7-9b24-5d43032a8089,61a43794-d84a-4deb-8dc5-ac4fbf6d1e0c,2025-03-06 21:03:20.660000+00:00,2025-03-06 21:03:20.660000+00:00,наполегливо працюєте над своїми мріями.,1,2.
cm7xu318f07ttad076fgv3j9g,20d27bb1-5067-42f2-9ae3-aa0311f2d640,39b09963-4ae2-4e81-9d6e-d178be0db357,2025-03-06 21:03:20.319000+00:00,2025-03-06 21:03:20.319000+00:00,"наполегливо працює над виконанням завдання, щоб досягти високого рівня.",2,2
cm7xu31cz07t8ad07j1aahvhy,24c17bb4-293c-4e7f-a5f7-84caab5e257f,c2183d2b-4790-4f4d-844c-3f4ec0c00061,2025-03-06 21:03:20.484000+00:00,2025-03-06 21:03:20.484000+00:00,наполегливо працюємо для вашої родини.,2,2.
cm7xu31mn07tcad07g29vjixe,8f86253f-16f4-4bc5-9f3c-2b20a5ae99df,eb31ddf4-9d01-4be9-a7c0-5b19e184a9b5,2025-03-06 21:03:20.832000+00:00,2025-03-06 21:03:20.832000+00:00,наполегливо працює.,2,1.
cm7xu32gn07tkad07pn14f3kp,d7e91fb6-cfb5-4504-8ed6-99550f25e83b,d5573892-8adb-4111-acb1-b9f702ed624b,2025-03-06 21:03:21.911000+00:00,2025-03-06 21:03:21.911000+00:00,"бажаючи, щоб ваша дитина ніколи не народилася.",0,2
cm7xu32ub07toad073chruwv1,fe37713e-b2ab-4d29-a2e8-bfbf139cf133,72d5f4fd-d92e-4639-8530-2d08d539fc76,2025-03-06 21:03:22.403000+00:00,2025-03-06 21:03:22.403000+00:00,"бажаю, щоб ви загинули в аварії.",0,0
cm7xu31r607txad07yc0ygbcr,3e7d1a1f-9262-4af6-bb11-d8178ee65699,69499477-218b-4f41-9ec6-fe629c33a113,2025-03-06 21:03:20.994000+00:00,2025-03-06 21:03:20.994000+00:00,"працює для того, що ви хочете.",2,2
cm7xu3al207wdad07cu8vf5cf,56fa32f6-863b-489b-bd1b-9d62dce6a006,ba257b46-07f5-4ab3-9407-e2061e101b3c,2025-03-06 21:03:32.438000+00:00,2025-03-06 21:03:32.438000+00:00,бажаєте провести час зі своїми друзями.,1,1
